Taxonomy,WS1L1,WS1L2,WS1L3,WS1L4,WS2L1,WS2L2,WS2L3,WS2L4,WS3L1,WS3L2,WS3L3,WS3L4,BS1L1,BS1L2,BS1L3,BS1L4,BS2L1,BS2L3,BS2L4,BS3L1,BS3L2,BS3L3,BS3L4,BS2L2,Tax_detail
Cyanobium_PCC-6307,0.000169017,0.000193162,0.002897431,0.000144872,0.002269654,0.004032258,0.002004056,0.001714313,0.085957118,0.000434615,0.000724358,0.001931621,0.000169017,0,0.000410469,9.66E-05,0.001279699,0.002824995,0.044861889,0.003549353,0.001110682,0.00142457,0.002052347,0.001255553,k__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Synechococcales;f__Cyanobiaceae;g__Cyanobium_PCC-6307;
Sphingomonas,0.000796794,0.000193162,0.000700212,0.000169017,0.000169017,0.000289743,0.000289743,0.000338034,0,0.000120726,0,0.000217307,0.012990149,0.00045876,0.001038246,0.000338034,0.005963879,0.015815144,0.009054472,0.026004443,0.074705428,0.019557659,0.021658296,0.006543365,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingomonas;
Candidatus_Megaira,0.006012169,0.00463589,0.000289743,0.052612517,0.000410469,0.002148928,0.000724358,0.000869229,7.24E-05,4.83E-05,0,9.66E-05,0.001593587,0.000241453,0,0.000362179,4.83E-05,0.000169017,0.000193162,0,0.000144872,0.000169017,9.66E-05,4.83E-05,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales;f__Rickettsiaceae;g__Candidatus_Megaira;
Undibacterium,0.011010238,0.02245509,0.04073305,0.029843539,0.003645934,0.034817462,0.019364497,0.0178192,0.006301912,0.004466873,0.005070504,0.04073305,0.011758741,0.044113386,0.007195287,0.033103149,0.001497006,0.001279699,0.002655978,0.004732471,0.002752559,0.0524435,0.050849913,0.002680124,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Oxalobacteraceae;g__Undibacterium;
unidentified_Clade_III,0.000169017,0.005022214,0.002607688,0.002100637,0.006398493,0.019123044,0.013690361,0.046189878,0.011903612,0.025569828,0.051187947,0.02994012,0,0,0,0,9.66E-05,0,2.41E-05,0,0,2.41E-05,0.000169017,0,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__SAR11_clade;f__Clade_III;g__unidentified_Clade_III;
Nitrosomonas,0.050004829,0.004370292,0.002390381,0.001497006,0,0,0,0,0,0,0,9.66E-05,0.006833108,0.020064709,0.005456828,0.003428627,4.83E-05,0.000144872,0.000169017,7.24E-05,4.83E-05,4.83E-05,7.24E-05,0.000555341,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Nitrosomonadaceae;g__Nitrosomonas;
Vogesella,4.83E-05,0,0,7.24E-05,0,0,0,9.66E-05,7.24E-05,0,0,0.047831756,0.000241453,0.000338034,0.000144872,0.000144872,0.000120726,0.000120726,0.000941665,0.000193162,4.83E-05,4.83E-05,0.000555341,0,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Chromobacteriaceae;g__Vogesella;
Mycobacterium,0.003742515,0.00284914,0.042833687,0.002752559,0.002752559,0.003018157,0.001303844,0.001979911,0.000144872,0.000144872,7.24E-05,0.000724358,0.007460885,0.000434615,0.013255747,0.001641878,0.001303844,0.003501062,0.002100637,0.004829052,0.001497006,0.00091752,0.000627777,0.001158972,k__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Corynebacteriales;f__Mycobacteriaceae;g__Mycobacterium;
[Eubacterium]_brachy_group,0,0,0,0,0,0,0,0,0,0,0,0,0.000169017,0.010865366,0.006615801,0.004128839,0.04073305,0.010527332,0.008064516,0,0,4.83E-05,0,0.003090593,k__Bacteria;p__Firmicutes;c__Clostridia;o__Peptostreptococcales-Tissierellales;f__Anaerovoracaceae;g__[Eubacterium]_brachy_group;
WCHB1-32,2.41E-05,0,0,0,0,4.83E-05,0,0,0,0,0,0,0.000410469,0.040298435,0.00417713,0.004370292,0.027235851,0.006446784,0.004056403,9.66E-05,0,0.001134827,0.002752559,0.010575623,k__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Prolixibacteraceae;g__WCHB1-32;
Aquicella,0,0,0,0,0,0,0,0,0,0,0,0,0.009030326,0,2.41E-05,7.24E-05,0.000120726,0.000941665,0.004539308,0.03747344,0.000820939,0.000748503,0.000193162,0.004515163,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Diplorickettsiales;f__Diplorickettsiaceae;g__Aquicella;
Giesbergeria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005939733,0,0.033320456,0.000193162,0.008523276,0,0,0,0,0,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Comamonadaceae;g__Giesbergeria;
Nevskia,0.000144872,0.000120726,7.24E-05,7.24E-05,0,9.66E-05,0,0,0.000434615,0.000555341,0.000217307,0.03274097,0.005988024,0.00050705,0.002076492,0.002124783,0.000362179,2.41E-05,0.000169017,0.001279699,0.000169017,0.002438671,0.000120726,0.002173073,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Salinisphaerales;f__Solimonadaceae;g__Nevskia;
Pseudarcicella,0.000169017,0,2.41E-05,0.000434615,0.004515163,0.008788874,0.001231408,0.01736044,0.002148928,0.032668534,0.026897817,0.031944176,0.000217307,0.000724358,0.000217307,0.00050705,0,0,0.000120726,4.83E-05,2.41E-05,0.000555341,0.000217307,0.000845084,k__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Cytophagales;f__Spirosomaceae;g__Pseudarcicella;
Haliscomenobacter,9.66E-05,2.41E-05,0.013304037,0.000289743,0.015283948,0.013255747,0.028636276,0.026245895,0,0.00091752,0,0.000410469,0,9.66E-05,0,4.83E-05,0.003621789,0.00651922,0.0145113,0.001038246,0.01262797,0.004563454,0.002221364,0.003501062,k__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Saprospiraceae;g__Haliscomenobacter;
GKS98_freshwater_group,0.001014101,7.24E-05,0.000313888,0.00091752,0.002631833,0.011444852,0.016539502,0.028539695,0.000603631,0.012120919,0.014366428,0.009633958,0.000796794,0.001617732,0.000410469,0.00142457,0,0,0.000120726,0,0,2.41E-05,0,0.000338034,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Alcaligenaceae;g__GKS98_freshwater_group;
Sphaerotilus,0,0.000434615,0,0,9.66E-05,0.013762797,0.00183504,0.013786942,0.006929689,2.41E-05,0.000241453,0.008668148,0.000193162,0.02851555,0.001400425,0.006350203,0.000482905,0.000144872,0.000893375,0,0,0.000144872,4.83E-05,0,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Comamonadaceae;g__Sphaerotilus;
Sediminibacterium,0.00417713,0.002317945,0.007340158,0.012386517,0.012458953,0.028249952,0.009416651,0.005432683,0.002511107,0.024821325,0.004297856,0.018471122,0.001448715,0.001086537,0.002486962,0.001666023,0.001014101,0.00188333,0.003597643,0.000362179,0.002366235,0.002124783,0.003911532,0.013062585,k__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Chitinophagaceae;g__Sediminibacterium;
Erysipelothrix,0,4.83E-05,0,0,0,0,0,0,0,0,0,0,0.000531196,0.018905737,0.002873286,0.027477303,0.01501835,0.006808963,0.00845084,0,0,0,0,0.002969867,k__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Erysipelothrix;
Legionella,0.003935677,0.000531196,9.66E-05,0.000869229,0.001231408,0.010261735,0.005722426,0.002559397,2.41E-05,0.000531196,0.00050705,0.000893375,0.026801236,0.000217307,0.000555341,0.000193162,0.000313888,0.00137628,0.000651922,0.027453158,0.002390381,0.004322001,0.000748503,0.003645934,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Legionellales;f__Legionellaceae;g__Legionella;
SH3-11,0.010623913,0.006784817,0.010865366,0.026825381,0.000603631,0.001738459,0.002221364,0.001907475,0.003404481,0.005432683,0.005432683,0.023927951,0.000338034,0.000193162,0.000434615,9.66E-05,2.41E-05,0.000241453,2.41E-05,0.000772648,0.001593587,0.004104694,0.000748503,0.000169017,k__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Pedosphaerales;f__Pedosphaeraceae;g__SH3-11;
Ellin6067,0.000120726,0.000579486,0,0.000531196,0.01166216,0.007629901,0.008933745,0.008305969,0.000845084,0.003404481,0.001183118,0.003790805,0.010092718,0.004128839,0.01033417,0.007098706,0.014245702,0.012314082,0.026777091,0.015114931,0.021296117,0.014293993,0.01216921,0.017408731,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Nitrosomonadaceae;g__Ellin6067;
Ideonella,0,0,0,9.66E-05,0.02668051,0.002317945,0.013690361,0.007146996,0,0,0,0,0,0.000265598,0,0.000217307,0.00045876,0.000434615,0.001062391,0,0,0,0,0,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Comamonadaceae;g__Ideonella;
Dechloromonas,0.000362179,0.000386324,0.000169017,0.000217307,0,0.000169017,0,0,0,0,0,0,0.000676067,0.026390767,0.00982712,0.010165154,0.00468418,0.001569442,0.001014101,0.00050705,0,0.000144872,0.001545297,0.002511107,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Rhodocyclaceae;g__Dechloromonas;
Ferribacterium,0,0.000193162,0,0,0.001158972,0.00050705,0.000289743,0,0.001327989,0,0.000989956,9.66E-05,7.24E-05,0.025280085,0.000362179,0.000893375,0.012265791,0.002945721,0.00987541,0.001400425,0.002535252,0.006639946,0.012048484,0.001231408,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Rhodocyclaceae;g__Ferribacterium;
Rhodobacter,0.005577555,0.004152984,0.000338034,0.024966197,0.000989956,0.001352134,0.005432683,0.004273711,0.000265598,0.001279699,0.000555341,0.001472861,0.00564999,0.001158972,0.000796794,0.003211319,0.005577555,0.004032258,0.005698281,0.012966003,0.002390381,0.00096581,0.001931621,0.003066448,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Rhodobacter;
