mSigma,Observed Intens,Observed m/z,calc. m/z,err mDa,err ppm,sum formula,C,H,N,O,S,
574.28,2102224,115.998961,115.998931,-0.030,-0.259,C3 H2 N O4     ,3,2,1,4,0,
351.97,2685206,119.987222,119.987321,0.099,0.825,C H2 N3 O2 S   ,1,2,3,2,1,
741.29,2052908,126.056080,126.056052,-0.028,-0.224,C6 H8 N O2     ,6,8,1,2,0,
551.14,1970401,128.983045,128.982947,-0.098,-0.760,C4 H O5        ,4,1,0,5,0,
408.22,2012872,130.033266,130.033209,-0.057,-0.441,C5 H8 N O S    ,5,8,1,1,1,
-1000.00,1941751,131.013891,131.013853,-0.038,-0.287,C8 H3 O2       ,8,3,0,2,0,
557.71,2015032,132.114109,132.114236,0.127,0.960,C5 H14 N3 O    ,5,14,3,1,0,
-1000.00,2649996,134.061036,134.061137,0.102,0.757,C8 H8 N O      ,8,8,1,1,0,
-1000.00,2009293,137.056784,137.056780,-0.003,-0.024,C3 H9 N2 O4    ,3,9,2,4,0,
-1000.00,1900896,139.014977,139.014916,-0.062,-0.444,C5 H3 N2 O3    ,5,3,2,3,0,
629.04,2592226,139.024707,139.024812,0.104,0.751,C3 H7 O6       ,3,7,0,6,0,
-1000.00,2150989,143.046143,143.046216,0.073,0.508,C5 H7 N2 O3    ,5,7,2,3,0,
-1000.00,1914411,144.030216,144.030231,0.015,0.106,C5 H6 N O4     ,5,6,1,4,0,
444.33,1947722,144.960068,144.960103,0.035,0.240,C4 H O4 S      ,4,1,0,4,1,
571.85,1940132,146.057079,146.057115,0.035,0.243,C4 H8 N3 O3    ,4,8,3,3,0,
-1000.00,2216366,149.997758,149.997886,0.127,0.849,C2 H4 N3 O3 S  ,2,4,3,3,1,
-1000.00,1919214,149.998609,149.998537,-0.072,-0.478,C10 N O        ,10,0,1,1,0,
742.52,1964378,152.014153,152.014187,0.034,0.226,C10 H2 N O     ,10,2,1,1,0,
558.21,2115268,153.019454,153.019332,-0.122,-0.798,C7 H5 O4       ,7,5,0,4,0,
-1000.00,2576975,156.012434,156.012473,0.040,0.254,C6 H6 N O2 S   ,6,6,1,2,1,
-1000.00,2132223,157.050681,157.050632,-0.049,-0.310,C7 H9 O4       ,7,9,0,4,0,
-1000.00,2041358,157.087046,157.087018,-0.028,-0.181,C8 H13 O3      ,8,13,0,3,0,
454.73,2436190,159.029990,159.029897,-0.093,-0.587,C6 H7 O5       ,6,7,0,5,0,
-1000.00,2422638,159.066355,159.066282,-0.072,-0.455,C7 H11 O4      ,7,11,0,4,0,
-1000.00,2009844,161.020462,161.020395,-0.067,-0.416,C4 H5 N2 O5    ,4,5,2,5,0,
-1000.00,1936714,163.040112,163.040068,-0.044,-0.270,C9 H7 O3       ,9,7,0,3,0,
730.80,2066120,164.050074,164.049921,-0.153,-0.931,C4 H10 N3 O2 S ,4,10,3,2,1,
436.87,2397139,164.071790,164.071702,-0.088,-0.538,C9 H10 N O2    ,9,10,1,2,0,
11.04,76154560,165.019379,165.019332,-0.047,-0.284,C8 H5 O4       ,8,5,0,4,0,
-1000.00,2571984,165.055789,165.055718,-0.071,-0.432,C9 H9 O3       ,9,9,0,3,0,
-1000.00,2047195,165.076773,165.076847,0.074,0.447,C6 H13 O5      ,6,13,0,5,0,
409.24,2519793,167.035000,167.034982,-0.018,-0.108,C8 H7 O4       ,8,7,0,4,0,
285.56,4017413,167.071401,167.071368,-0.034,-0.202,C9 H11 O3      ,9,11,0,3,0,
579.00,2070793,168.009048,168.009102,0.054,0.322,C10 H2 N O2    ,10,2,1,2,0,
-1000.00,2029097,168.066700,168.066617,-0.083,-0.495,C8 H10 N O3    ,8,10,1,3,0,
231.99,3991891,169.050677,169.050632,-0.045,-0.266,C8 H9 O4       ,8,9,0,4,0,
421.16,2817640,169.087082,169.087018,-0.064,-0.381,C9 H13 O3      ,9,13,0,3,0,
-1000.00,2062855,170.035805,170.035985,0.181,1.062,C9 H4 N3 O     ,9,4,3,1,0,
-1000.00,2050445,170.045927,170.045881,-0.045,-0.266,C7 H8 N O4     ,7,8,1,4,0,
441.90,1991587,170.960340,170.960497,0.157,0.917,C2 H3 O7 S     ,2,3,0,7,1,
245.84,3716033,171.012185,171.012139,-0.046,-0.267,C7 H7 O3 S     ,7,7,0,3,1,
-1000.00,7932897,171.066322,171.066282,-0.040,-0.232,C8 H11 O4      ,8,11,0,4,0,
-1000.00,3070084,173.045623,173.045547,-0.076,-0.442,C7 H9 O5       ,7,9,0,5,0,
-1000.00,10132634,173.081984,173.081932,-0.052,-0.300,C8 H13 O4      ,8,13,0,4,0,
-1000.00,2016325,177.015154,177.015309,0.156,0.879,C4 H5 N2 O6    ,4,5,2,6,0,
-1000.00,2413128,177.019361,177.019332,-0.029,-0.162,C9 H5 O4       ,9,5,0,4,0,
