mSigma,Observed Intens,Observed m/z,calc. m/z,err mDa,err ppm,sum formula,C,H,N,O,S,
-1000.00,3865183,177.055745,177.055718,-0.027,-0.151,C10 H9 O3      ,10,9,0,3,0,
-1000.00,2201693,178.998707,178.998597,-0.111,-0.618,C8 H3 O5       ,8,3,0,5,0,
190.22,6625141,179.035015,179.034982,-0.033,-0.183,C9 H7 O4       ,9,7,0,4,0,
-1000.00,2368650,179.067319,179.067345,0.026,0.146,C5 H11 N2 O5   ,5,11,2,5,0,
-1000.00,4428685,179.071406,179.071368,-0.039,-0.216,C10 H11 O3     ,10,11,0,3,0,
484.04,2373797,179.107783,179.107753,-0.030,-0.166,C11 H15 O2     ,11,15,0,2,0,
640.12,2096388,180.012655,180.012473,-0.182,-1.011,C8 H6 N O2 S   ,8,6,1,2,1,
457.95,2432528,180.030249,180.030231,-0.018,-0.099,C8 H6 N O4     ,8,6,1,4,0,
163.89,7161005,181.014287,181.014247,-0.040,-0.223,C8 H5 O5       ,8,5,0,5,0,
-1000.00,1988279,181.029356,181.029503,0.147,0.814,C12 H5 O2      ,12,5,0,2,0,
-1000.00,7387334,181.050680,181.050632,-0.048,-0.263,C9 H9 O4       ,9,9,0,4,0,
-1000.00,5962975,181.087068,181.087018,-0.050,-0.276,C10 H13 O3     ,10,13,0,3,0,
534.86,2225498,182.009544,182.009496,-0.048,-0.264,C7 H4 N O5     ,7,4,1,5,0,
-1000.00,2545523,182.045925,182.045881,-0.043,-0.239,C8 H8 N O4     ,8,8,1,4,0,
-1000.00,2382095,183.004839,183.004745,-0.094,-0.514,C6 H3 N2 O5    ,6,3,2,5,0,
-1000.00,2372116,183.012170,183.012139,-0.031,-0.170,C8 H7 O3 S     ,8,7,0,3,1,
-1000.00,4643872,183.029926,183.029897,-0.029,-0.160,C8 H7 O5       ,8,7,0,5,0,
-1000.00,9280058,183.066325,183.066282,-0.043,-0.233,C9 H11 O4      ,9,11,0,4,0,
-1000.00,3749459,183.102676,183.102668,-0.009,-0.047,C10 H15 O3     ,10,15,0,3,0,
378.93,3049719,184.061579,184.061531,-0.047,-0.256,C8 H10 N O4    ,8,10,1,4,0,
-1000.00,1994917,185.024563,185.024418,-0.145,-0.786,C11 H5 O3      ,11,5,0,3,0,
80.36,8931278,185.081968,185.081932,-0.035,-0.189,C9 H13 O4      ,9,13,0,4,0,
410.26,2583016,185.118351,185.118318,-0.033,-0.178,C10 H17 O3     ,10,17,0,3,0,
692.36,2164364,186.056062,186.056052,-0.010,-0.051,C11 H8 N O2    ,11,8,1,2,0,
633.25,2306459,186.077308,186.077181,-0.127,-0.681,C8 H12 N O4    ,8,12,1,4,0,
444.54,2023606,186.113606,186.113567,-0.039,-0.212,C9 H16 N O3    ,9,16,1,3,0,
-1000.00,2865485,187.024859,187.024812,-0.048,-0.254,C7 H7 O6       ,7,7,0,6,0,
-1000.00,11607400,187.061236,187.061197,-0.039,-0.210,C8 H11 O5      ,8,11,0,5,0,
468.65,2271091,187.076551,187.076453,-0.098,-0.522,C12 H11 O2     ,12,11,0,2,0,
-1000.00,30641538,187.097615,187.097583,-0.033,-0.175,C9 H15 O4      ,9,15,0,4,0,
454.50,2233652,188.035413,188.035317,-0.097,-0.514,C10 H6 N O3    ,10,6,1,3,0,
-1000.00,3905091,188.056480,188.056446,-0.034,-0.181,C7 H10 N O5    ,7,10,1,5,0,
-1000.00,2709278,189.040488,189.040462,-0.027,-0.142,C7 H9 O6       ,7,9,0,6,0,
-1000.00,2462249,189.055807,189.055718,-0.089,-0.472,C11 H9 O3      ,11,9,0,3,0,
-1000.00,6617913,189.076894,189.076847,-0.047,-0.247,C8 H13 O5      ,8,13,0,5,0,
-1000.00,5607674,191.035014,191.034982,-0.032,-0.168,C10 H7 O4      ,10,7,0,4,0,
409.08,2598666,191.056177,191.056112,-0.066,-0.344,C7 H11 O6      ,7,11,0,6,0,
-1000.00,3432726,191.071405,191.071368,-0.037,-0.195,C11 H11 O3     ,11,11,0,3,0,
380.92,2897202,191.107839,191.107753,-0.086,-0.448,C12 H15 O2     ,12,15,0,2,0,
-1000.00,2226133,191.993664,191.993846,0.182,0.946,C8 H2 N O5     ,8,2,1,5,0,
-1000.00,3990245,193.014269,193.014247,-0.022,-0.115,C9 H5 O5       ,9,5,0,5,0,
-1000.00,6369025,193.050641,193.050632,-0.009,-0.047,C10 H9 O4      ,10,9,0,4,0,
-1000.00,6687517,193.087049,193.087018,-0.031,-0.160,C11 H13 O3     ,11,13,0,3,0,
-1000.00,4345348,194.045905,194.045881,-0.024,-0.122,C9 H8 N O4     ,9,8,1,4,0,
89.70,8672516,195.029926,195.029897,-0.029,-0.147,C9 H7 O5       ,9,7,0,5,0,
446.54,2013447,195.033274,195.033268,-0.006,-0.032,C6 H11 O5 S    ,6,11,0,5,1,
634.57,2365453,195.041146,195.041130,-0.016,-0.082,C8 H7 N2 O4    ,8,7,2,4,0,
43.52,12858657,195.066316,195.066282,-0.033,-0.170,C10 H11 O4     ,10,11,0,4,0,
-1000.00,6447421,195.102700,195.102668,-0.032,-0.162,C11 H15 O3     ,11,15,0,3,0,
-1000.00,3122195,196.025154,196.025146,-0.008,-0.042,C8 H6 N O5     ,8,6,1,5,0,
-1000.00,4735536,196.061571,196.061531,-0.039,-0.201,C9 H10 N O4    ,9,10,1,4,0,
227.85,4405022,197.009185,197.009161,-0.023,-0.118,C8 H5 O6       ,8,5,0,6,0,
526.49,2937639,197.020402,197.020395,-0.007,-0.036,C7 H5 N2 O5    ,7,5,2,5,0,
-1000.00,11111227,197.045579,197.045547,-0.032,-0.161,C9 H9 O5       ,9,9,0,5,0,
-1000.00,17656664,197.081949,197.081932,-0.016,-0.083,C10 H13 O4     ,10,13,0,4,0,
-1000.00,3345269,197.118367,197.118318,-0.049,-0.250,C11 H17 O3     ,11,17,0,3,0,
428.15,2703444,198.040810,198.040796,-0.014,-0.071,C8 H8 N O5     ,8,8,1,5,0,
-1000.00,3153521,198.077198,198.077181,-0.017,-0.084,C9 H12 N O4    ,9,12,1,4,0,
-1000.00,9298267,199.007079,199.007053,-0.026,-0.131,C8 H7 O4 S     ,8,7,0,4,1,
-1000.00,4528490,199.024833,199.024812,-0.022,-0.110,C8 H7 O6       ,8,7,0,6,0,
-1000.00,2312822,199.040021,199.040068,0.046,0.233,C12 H7 O3      ,12,7,0,3,0,
-1000.00,20967814,199.061211,199.061197,-0.014,-0.070,C9 H11 O5      ,9,11,0,5,0,
635.93,4780432,199.072486,199.072430,-0.056,-0.279,C8 H11 N2 O4   ,8,11,2,4,0,
-1000.00,14664100,199.097598,199.097583,-0.016,-0.078,C10 H15 O4     ,10,15,0,4,0,
209.32,4955307,200.056477,200.056446,-0.031,-0.154,C8 H10 N O5    ,8,10,1,5,0,
-1000.00,2222280,200.092851,200.092832,-0.020,-0.099,C9 H14 N O4    ,9,14,1,4,0,
-1000.00,4339614,200.986343,200.986318,-0.025,-0.123,C7 H5 O5 S     ,7,5,0,5,1,
-1000.00,10776521,201.040482,201.040462,-0.021,-0.103,C8 H9 O6       ,8,9,0,6,0,
-1000.00,23447528,201.076866,201.076847,-0.018,-0.092,C9 H13 O5      ,9,13,0,5,0,
87.53,18040836,201.113263,201.113233,-0.030,-0.151,C10 H17 O4     ,10,17,0,4,0,
574.39,2161923,202.050989,202.050967,-0.022,-0.111,C11 H8 N O3    ,11,8,1,3,0,
467.15,3874580,202.072102,202.072096,-0.006,-0.030,C8 H12 N O5    ,8,12,1,5,0,
497.49,2138663,203.030744,203.030960,0.215,1.061,C6 H7 N2 O6    ,6,7,2,6,0,
-1000.00,4396075,203.034988,203.034982,-0.006,-0.029,C11 H7 O4      ,11,7,0,4,0,
154.40,8225340,203.056120,203.056112,-0.008,-0.041,C8 H11 O6      ,8,11,0,6,0,
-1000.00,3618376,203.071422,203.071368,-0.054,-0.265,C12 H11 O3     ,12,11,0,3,0,
165.24,8730202,203.092508,203.092497,-0.011,-0.055,C9 H15 O5      ,9,15,0,5,0,
-1000.00,2870886,203.107775,203.107753,-0.022,-0.107,C13 H15 O2     ,13,15,0,2,0,
-1000.00,2131039,204.030268,204.030231,-0.036,-0.179,C10 H6 N O4    ,10,6,1,4,0,
-1000.00,4153487,205.014269,205.014247,-0.022,-0.107,C10 H5 O5      ,10,5,0,5,0,
608.54,2731160,205.025516,205.025480,-0.035,-0.173,C9 H5 N2 O4    ,9,5,2,4,0,
206.62,7272621,205.050663,205.050632,-0.031,-0.151,C11 H9 O4      ,11,9,0,4,0,
642.41,2182839,205.061906,205.061866,-0.040,-0.196,C10 H9 N2 O3   ,10,9,2,3,0,
-1000.00,2495167,205.071748,205.071762,0.014,0.066,C8 H13 O6      ,8,13,0,6,0,
-1000.00,5591244,205.087039,205.087018,-0.021,-0.104,C12 H13 O3     ,12,13,0,3,0,
-1000.00,2403562,205.123509,205.123403,-0.105,-0.513,C13 H17 O2     ,13,17,0,2,0,
-1000.00,3040008,205.159814,205.159789,-0.025,-0.121,C14 H21 O      ,14,21,0,1,0,
315.61,3295210,206.045888,206.045881,-0.007,-0.033,C10 H8 N O4    ,10,8,1,4,0,
-1000.00,3195912,206.082267,206.082267,-0.000,-0.002,C11 H12 N O3   ,11,12,1,3,0,
-1000.00,3702018,206.993512,206.993511,-0.000,-0.001,C9 H3 O6       ,9,3,0,6,0,
315.98,12774162,207.012172,207.012139,-0.033,-0.159,C10 H7 O3 S    ,10,7,0,3,1,
-1000.00,9063201,207.029908,207.029897,-0.011,-0.053,C10 H7 O5      ,10,7,0,5,0,
557.39,2436147,207.051055,207.051026,-0.029,-0.140,C7 H11 O7      ,7,11,0,7,0,
53.96,11311935,207.066307,207.066282,-0.025,-0.119,C11 H11 O4     ,11,11,0,4,0,
-1000.00,5271390,207.102697,207.102668,-0.029,-0.140,C12 H15 O3     ,12,15,0,3,0,
-1000.00,2076483,207.986033,207.986258,0.225,1.084,C12 H2 N O S   ,12,2,1,1,1,
234.04,3805796,208.025171,208.025146,-0.026,-0.123,C9 H6 N O5     ,9,6,1,5,0,
-1000.00,5085827,208.061543,208.061531,-0.012,-0.057,C10 H10 N O4   ,10,10,1,4,0,
-1000.00,10154401,209.009199,209.009161,-0.038,-0.181,C9 H5 O6       ,9,5,0,6,0,
-1000.00,14041536,209.045551,209.045547,-0.004,-0.021,C10 H9 O5      ,10,9,0,5,0,
671.94,2379722,209.056799,209.056780,-0.019,-0.089,C9 H9 N2 O4    ,9,9,2,4,0,
-1000.00,15360479,209.081950,209.081932,-0.018,-0.086,C11 H13 O4     ,11,13,0,4,0,
-1000.00,4123134,209.118314,209.118318,0.004,0.020,C12 H17 O3     ,12,17,0,3,0,
-1000.00,2345500,209.154785,209.154703,-0.081,-0.388,C13 H21 O2     ,13,21,0,2,0,
-1000.00,2591979,210.004487,210.004410,-0.077,-0.366,C8 H4 N O6     ,8,4,1,6,0,
165.71,5463306,210.040804,210.040796,-0.008,-0.038,C9 H8 N O5     ,9,8,1,5,0,
-1000.00,3795241,210.077235,210.077181,-0.053,-0.254,C10 H12 N O4   ,10,12,1,4,0,
513.07,2140265,210.153251,210.153324,0.072,0.344,C9 H24 N O2 S  ,9,24,1,2,1,
-1000.00,11767884,211.024839,211.024812,-0.028,-0.131,C9 H7 O6       ,9,7,0,6,0,
643.41,3057238,211.036067,211.036045,-0.022,-0.102,C8 H7 N2 O5    ,8,7,2,5,0,
395.30,2341468,211.043438,211.043439,0.001,0.004,C10 H11 O3 S   ,10,11,0,3,1,
75.83,24180844,211.061218,211.061197,-0.021,-0.100,C10 H11 O5     ,10,11,0,5,0,
682.92,2618485,211.072462,211.072430,-0.031,-0.148,C9 H11 N2 O4   ,9,11,2,4,0,
17.28,17016970,211.097601,211.097583,-0.019,-0.088,C11 H15 O4     ,11,15,0,4,0,
-1000.00,2442409,211.133990,211.133968,-0.022,-0.104,C12 H19 O3     ,12,19,0,3,0,
456.79,3997595,212.020113,212.020060,-0.053,-0.249,C8 H6 N O6     ,8,6,1,6,0,
161.36,7062459,212.056463,212.056446,-0.017,-0.082,C9 H10 N O5    ,9,10,1,5,0,
342.74,4011251,213.022687,213.022704,0.017,0.078,C9 H9 O4 S     ,9,9,0,4,1,
-1000.00,16781058,213.040490,213.040462,-0.029,-0.135,C9 H9 O6       ,9,9,0,6,0,
-1000.00,2965263,213.055746,213.055718,-0.028,-0.132,C13 H9 O3      ,13,9,0,3,0,
13.49,38866720,213.076876,213.076847,-0.028,-0.134,C10 H13 O5     ,10,13,0,5,0,
-1000.00,11409216,213.113273,213.113233,-0.040,-0.189,C11 H17 O4     ,11,17,0,4,0,
481.33,2617851,213.930141,213.929925,-0.216,-1.010,C2 N O9 S      ,2,0,1,9,1,
516.47,2049621,214.035730,214.035711,-0.019,-0.089,C8 H8 N O6     ,8,8,1,6,0,
177.27,6489717,214.072138,214.072096,-0.042,-0.196,C9 H12 N O5    ,9,12,1,5,0,
376.93,2470802,215.001973,215.001968,-0.005,-0.023,C8 H7 O5 S     ,8,7,0,5,1,
-1000.00,3524001,215.019765,215.019726,-0.039,-0.182,C8 H7 O7       ,8,7,0,7,0,
612.14,2541486,215.035018,215.034982,-0.035,-0.164,C12 H7 O4      ,12,7,0,4,0,
506.28,2762683,215.049628,215.049587,-0.041,-0.189,C8 H11 N2 O3 S ,8,11,2,3,1,
12.29,23348672,215.056145,215.056112,-0.033,-0.155,C9 H11 O6      ,9,11,0,6,0,
58.51,24667616,215.092529,215.092497,-0.031,-0.146,C10 H15 O5     ,10,15,0,5,0,
-1000.00,15341055,215.128916,215.128883,-0.033,-0.153,C11 H19 O4     ,11,19,0,4,0,
444.18,2623237,216.030118,216.030231,0.114,0.526,C11 H6 N O4    ,11,6,1,4,0,
568.59,2361111,216.051384,216.051361,-0.024,-0.109,C8 H10 N O6    ,8,10,1,6,0,
409.08,2332471,216.087750,216.087746,-0.003,-0.016,C9 H14 N O5    ,9,14,1,5,0,
610.94,2097988,216.102944,216.103002,0.058,0.270,C13 H14 N O2   ,13,14,1,2,0,
616.08,2495575,217.017627,217.017618,-0.009,-0.039,C8 H9 O5 S     ,8,9,0,5,1,
429.04,2958950,217.035391,217.035376,-0.015,-0.068,C8 H9 O7       ,8,9,0,7,0,
595.10,2069614,217.044140,217.044108,-0.032,-0.148,C11 H9 N2 O S  ,11,9,2,1,1,
249.44,4978804,217.050675,217.050632,-0.042,-0.194,C12 H9 O4      ,12,9,0,4,0,
91.52,16215174,217.071790,217.071762,-0.028,-0.131,C9 H13 O6      ,9,13,0,6,0,
-1000.00,2135187,217.087050,217.087018,-0.032,-0.148,C13 H13 O3     ,13,13,0,3,0,
-1000.00,15957157,217.108172,217.108147,-0.025,-0.115,C10 H17 O5     ,10,17,0,5,0,
370.33,2837453,218.045891,218.045881,-0.009,-0.043,C11 H8 N O4    ,11,8,1,4,0,
112.31,7496479,219.029933,219.029897,-0.036,-0.165,C11 H7 O5      ,11,7,0,5,0,
542.43,2438961,219.051038,219.051026,-0.012,-0.055,C8 H11 O7      ,8,11,0,7,0,
224.52,7416638,219.066300,219.066282,-0.017,-0.078,C12 H11 O4     ,12,11,0,4,0,
662.34,2228552,219.077484,219.077516,0.032,0.145,C11 H11 N2 O3  ,11,11,2,3,0,
316.01,3775312,219.087458,219.087412,-0.046,-0.209,C9 H15 O6      ,9,15,0,6,0,
-1000.00,4583262,219.102697,219.102668,-0.029,-0.133,C13 H15 O3     ,13,15,0,3,0,
-1000.00,3343483,220.025177,220.025146,-0.031,-0.139,C10 H6 N O5    ,10,6,1,5,0,
586.29,2348164,220.036389,220.036379,-0.009,-0.043,C9 H6 N3 O4    ,9,6,3,4,0,
313.30,4357786,220.061593,220.061531,-0.062,-0.282,C11 H10 N O4   ,11,10,1,4,0,
-1000.00,5111246,221.009196,221.009161,-0.034,-0.155,C10 H5 O6      ,10,5,0,6,0,
-1000.00,13109741,221.045580,221.045547,-0.033,-0.148,C11 H9 O5      ,11,9,0,5,0,
273.08,3783152,221.048958,221.048918,-0.040,-0.180,C8 H13 O5 S    ,8,13,0,5,1,
573.23,3248640,221.066695,221.066676,-0.018,-0.083,C8 H13 O7      ,8,13,0,7,0,
8.14,16882188,221.081960,221.081932,-0.027,-0.124,C12 H13 O4     ,12,13,0,4,0,
-1000.00,2063903,221.103125,221.103062,-0.063,-0.287,C9 H17 O6      ,9,17,0,6,0,
-1000.00,6225452,221.118371,221.118318,-0.053,-0.242,C13 H17 O3     ,13,17,0,3,0,
-1000.00,2530380,221.154775,221.154703,-0.071,-0.323,C14 H21 O2     ,14,21,0,2,0,
-1000.00,2176299,222.004485,222.004410,-0.074,-0.335,C9 H4 N O6     ,9,4,1,6,0,
-1000.00,6144331,222.040837,222.040796,-0.041,-0.186,C10 H8 N O5    ,10,8,1,5,0,
-1000.00,3890538,222.077229,222.077181,-0.048,-0.215,C11 H12 N O4   ,11,12,1,4,0,
-1000.00,14545055,223.024840,223.024812,-0.028,-0.127,C10 H7 O6      ,10,7,0,6,0,
-1000.00,2723490,223.028207,223.028183,-0.025,-0.110,C7 H11 O6 S    ,7,11,0,6,1,
662.07,2285736,223.036060,223.036045,-0.016,-0.070,C9 H7 N2 O5    ,9,7,2,5,0,
6.34,19923134,223.061241,223.061197,-0.044,-0.197,C11 H11 O5     ,11,11,0,5,0,
671.21,3542216,223.072488,223.072430,-0.058,-0.259,C10 H11 N2 O4  ,10,11,2,4,0,
52.08,18735326,223.097621,223.097583,-0.038,-0.171,C12 H15 O4     ,12,15,0,4,0,
-1000.00,4203773,223.133976,223.133968,-0.008,-0.036,C13 H19 O3     ,13,19,0,3,0,
-1000.00,5806077,224.020092,224.020060,-0.031,-0.139,C9 H6 N O6     ,9,6,1,6,0,
-1000.00,9120796,224.056485,224.056446,-0.039,-0.173,C10 H10 N O5   ,10,10,1,5,0,
-1000.00,3447868,224.092888,224.092832,-0.056,-0.252,C11 H14 N O4   ,11,14,1,4,0,
22.40,22120272,225.004115,225.004076,-0.039,-0.172,C9 H5 O7       ,9,5,0,7,0,
10.24,18171760,225.040502,225.040462,-0.041,-0.182,C10 H9 O6      ,10,9,0,6,0,
681.05,2657146,225.051735,225.051695,-0.040,-0.180,C9 H9 N2 O5    ,9,9,2,5,0,
29.70,34789264,225.076878,225.076847,-0.031,-0.137,C11 H13 O5     ,11,13,0,5,0,
680.88,3483545,225.088133,225.088080,-0.052,-0.231,C10 H13 N2 O4  ,10,13,2,4,0,
12.74,13694895,225.113271,225.113233,-0.038,-0.169,C12 H17 O4     ,12,17,0,4,0,
-1000.00,2722255,225.149714,225.149618,-0.096,-0.426,C13 H21 O3     ,13,21,0,3,0,
272.78,4319950,226.035779,226.035711,-0.069,-0.303,C9 H8 N O6     ,9,8,1,6,0,
86.15,8186605,226.072132,226.072096,-0.036,-0.159,C10 H12 N O5   ,10,12,1,5,0,
304.50,2804754,227.001956,227.001968,0.012,0.055,C9 H7 O5 S     ,9,7,0,5,1,
-1000.00,6231585,227.019764,227.019726,-0.037,-0.165,C9 H7 O7       ,9,7,0,7,0,
486.30,2776625,227.038367,227.038354,-0.013,-0.058,C10 H11 O4 S   ,10,11,0,4,1,
29.80,38346304,227.056136,227.056112,-0.024,-0.105,C10 H11 O6     ,10,11,0,6,0,
685.65,2738251,227.067427,227.067345,-0.082,-0.362,C9 H11 N2 O5   ,9,11,2,5,0,
-1000.00,2292814,227.071441,227.071368,-0.074,-0.324,C14 H11 O3     ,14,11,0,3,0,
28.04,47603296,227.092533,227.092497,-0.035,-0.156,C11 H15 O5     ,11,15,0,5,0,
667.32,2612330,227.103764,227.103731,-0.034,-0.148,C10 H15 N2 O4  ,10,15,2,4,0,
-1000.00,10425984,227.128920,227.128883,-0.038,-0.165,C12 H19 O4     ,12,19,0,4,0,
-1000.00,2170201,227.972132,227.972065,-0.067,-0.292,C6 H2 N3 O5 S  ,6,2,3,5,1,
278.37,7051677,228.051396,228.051361,-0.036,-0.157,C9 H10 N O6    ,9,10,1,6,0,
648.11,2105514,228.066573,228.066617,0.044,0.194,C13 H10 N O3   ,13,10,1,3,0,
343.94,3744189,228.087790,228.087746,-0.044,-0.193,C10 H14 N O5   ,10,14,1,5,0,
636.06,2199245,228.995142,228.994968,-0.174,-0.762,C3 H5 N2 O10   ,3,5,2,10,0,
-1000.00,2094813,229.014343,229.014247,-0.096,-0.421,C12 H5 O5      ,12,5,0,5,0,
-1000.00,7312608,229.017652,229.017618,-0.034,-0.149,C9 H9 O5 S     ,9,9,0,5,1,
126.48,14984431,229.035405,229.035376,-0.029,-0.125,C9 H9 O7       ,9,9,0,7,0,
657.84,2372345,229.046661,229.046610,-0.052,-0.227,C8 H9 N2 O6    ,8,9,2,6,0,
613.91,4611325,229.050673,229.050632,-0.041,-0.178,C13 H9 O4      ,13,9,0,4,0,
25.77,48440592,229.071792,229.071762,-0.031,-0.134,C10 H13 O6     ,10,13,0,6,0,
-1000.00,2980124,229.087051,229.087018,-0.033,-0.146,C14 H13 O3     ,14,13,0,3,0,
20.83,23016750,229.108175,229.108147,-0.028,-0.122,C11 H17 O5     ,11,17,0,5,0,
-1000.00,11695438,229.144581,229.144533,-0.048,-0.211,C12 H21 O4     ,12,21,0,4,0,
-1000.00,2427245,229.180963,229.180918,-0.045,-0.196,C13 H25 O3     ,13,25,0,3,0,
-1000.00,2109478,229.988385,229.988366,-0.019,-0.081,C14 N O3       ,14,0,1,3,0,
603.79,2588759,230.045941,230.045881,-0.060,-0.260,C12 H8 N O4    ,12,8,1,4,0,
262.91,5151850,230.067031,230.067011,-0.020,-0.086,C9 H12 N O6    ,9,12,1,6,0,
451.83,2159753,230.103455,230.103396,-0.058,-0.254,C10 H16 N O5   ,10,16,1,5,0,
407.97,2631563,230.996876,230.996883,0.007,0.030,C8 H7 O6 S     ,8,7,0,6,1,
-1000.00,6761383,231.029926,231.029897,-0.029,-0.124,C12 H7 O5      ,12,7,0,5,0,
-1000.00,2496170,231.033354,231.033268,-0.085,-0.370,C9 H11 O5 S    ,9,11,0,5,1,
623.17,3156401,231.041121,231.041130,0.009,0.040,C11 H7 N2 O4   ,11,7,2,4,0,
119.37,15899577,231.051059,231.051026,-0.032,-0.140,C9 H11 O7      ,9,11,0,7,0,
459.43,6499271,231.066302,231.066282,-0.020,-0.087,C13 H11 O4     ,13,11,0,4,0,
53.98,24603608,231.087441,231.087412,-0.029,-0.127,C10 H15 O6     ,10,15,0,6,0,
556.23,2898402,231.098644,231.098645,0.001,0.004,C9 H15 N2 O5   ,9,15,2,5,0,
-1000.00,2526694,231.102705,231.102668,-0.037,-0.162,C14 H15 O3     ,14,15,0,3,0,
-1000.00,8528888,231.123834,231.123797,-0.037,-0.160,C11 H19 O5     ,11,19,0,5,0,
-1000.00,5767935,232.025139,232.025146,0.007,0.031,C11 H6 N O5    ,11,6,1,5,0,
556.29,3054366,232.061538,232.061531,-0.006,-0.027,C12 H10 N O4   ,12,10,1,4,0,
