mSigma,Observed Intens,Observed m/z,calc. m/z,err mDa,err ppm,sum formula,C,H,N,O,S,
-1000.00,1999665,166.051006,166.050967,-0.039,-0.235,C8 H8 N O3     ,8,8,1,3,0,
-1000.00,2040883,166.054455,166.054338,-0.117,-0.706,C5 H12 N O3 S  ,5,12,1,3,1,
-1000.00,2482745,167.034997,167.034982,-0.014,-0.086,C8 H7 O4       ,8,7,0,4,0,
586.53,2561087,167.046188,167.046216,0.028,0.166,C7 H7 N2 O3    ,7,7,2,3,0,
311.74,3808077,167.071359,167.071368,0.009,0.051,C9 H11 O3      ,9,11,0,3,0,
-1000.00,2501479,168.066599,168.066617,0.018,0.109,C8 H10 N O3    ,8,10,1,3,0,
-1000.00,1955664,168.956022,168.956081,0.059,0.348,C H N2 O6 S    ,1,1,2,6,1,
-1000.00,3556741,169.050633,169.050632,-0.000,-0.001,C8 H9 O4       ,8,9,0,4,0,
471.82,2919833,169.087053,169.087018,-0.035,-0.208,C9 H13 O3      ,9,13,0,3,0,
773.91,1997728,169.098324,169.098251,-0.073,-0.429,C8 H13 N2 O2   ,8,13,2,2,0,
385.95,1980074,170.028305,170.028123,-0.182,-1.072,C7 H8 N O2 S   ,7,8,1,2,1,
273.59,4277213,171.012151,171.012139,-0.012,-0.071,C7 H7 O3 S     ,7,7,0,3,1,
-1000.00,2454247,171.029919,171.029897,-0.022,-0.127,C7 H7 O5       ,7,7,0,5,0,
-1000.00,4569596,171.066296,171.066282,-0.014,-0.081,C8 H11 O4      ,8,11,0,4,0,
-1000.00,2495111,173.045538,173.045547,0.009,0.051,C7 H9 O5       ,7,9,0,5,0,
215.96,4343965,173.081938,173.081932,-0.006,-0.035,C8 H13 O4      ,8,13,0,4,0,
441.94,2271486,174.092453,174.092438,-0.015,-0.088,C11 H12 N O    ,11,12,1,1,0,
-1000.00,1981273,175.076485,175.076453,-0.032,-0.181,C11 H11 O2     ,11,11,0,2,0,
-1000.00,3148338,177.055695,177.055718,0.023,0.127,C10 H9 O3      ,10,9,0,3,0,
676.17,1982278,177.088274,177.088080,-0.194,-1.094,C6 H13 N2 O4   ,6,13,2,4,0,
-1000.00,5119790,179.034999,179.034982,-0.017,-0.096,C9 H7 O4       ,9,7,0,4,0,
411.13,2096688,179.038429,179.038354,-0.075,-0.419,C6 H11 O4 S    ,6,11,0,4,1,
-1000.00,4565830,179.071374,179.071368,-0.006,-0.034,C10 H11 O3     ,10,11,0,3,0,
-1000.00,2282846,179.107731,179.107753,0.023,0.127,C11 H15 O2     ,11,15,0,2,0,
316.11,3180477,180.030239,180.030231,-0.008,-0.043,C8 H6 N O4     ,8,6,1,4,0,
318.54,3192277,180.066638,180.066617,-0.021,-0.116,C9 H10 N O3    ,9,10,1,3,0,
480.27,2020682,181.010282,181.010224,-0.058,-0.320,C3 H5 N2 O7    ,3,5,2,7,0,
-1000.00,8203365,181.050638,181.050632,-0.006,-0.033,C9 H9 O4       ,9,9,0,4,0,
-1000.00,7115901,181.087024,181.087018,-0.006,-0.032,C10 H13 O3     ,10,13,0,3,0,
143.80,5818080,181.991764,181.991738,-0.026,-0.143,C7 H4 N O3 S   ,7,4,1,3,1,
-1000.00,2041317,181.999494,181.999600,0.106,0.582,C9 N3 O2       ,9,0,3,2,0,
-1000.00,3084549,182.045923,182.045881,-0.041,-0.228,C8 H8 N O4     ,8,8,1,4,0,
-1000.00,2004873,182.989355,182.989489,0.134,0.730,C2 H3 N2 O8    ,2,3,2,8,0,
-1000.00,3268517,183.029874,183.029897,0.023,0.124,C8 H7 O5       ,8,7,0,5,0,
-1000.00,11673022,183.066278,183.066282,0.004,0.023,C9 H11 O4      ,9,11,0,4,0,
-1000.00,3273175,183.102653,183.102668,0.015,0.082,C10 H15 O3     ,10,15,0,3,0,
-1000.00,2106438,184.003509,184.003365,-0.143,-0.780,C2 H6 N3 O5 S  ,2,6,3,5,1,
256.42,4705902,184.061516,184.061531,0.015,0.082,C8 H10 N O4    ,8,10,1,4,0,
430.81,3249425,185.027780,185.027789,0.009,0.049,C8 H9 O3 S     ,8,9,0,3,1,
131.61,6653726,185.045553,185.045547,-0.006,-0.030,C8 H9 O5       ,8,9,0,5,0,
131.24,9911095,185.081932,185.081932,0.000,0.002,C9 H13 O4      ,9,13,0,4,0,
-1000.00,2002653,186.040831,186.040796,-0.035,-0.190,C7 H8 N O5     ,7,8,1,5,0,
-1000.00,2549404,187.024817,187.024812,-0.006,-0.032,C7 H7 O6       ,7,7,0,6,0,
-1000.00,11837622,187.061201,187.061197,-0.004,-0.021,C8 H11 O5      ,8,11,0,5,0,
37.66,16175312,187.097585,187.097583,-0.003,-0.013,C9 H15 O4      ,9,15,0,4,0,
490.90,2342788,188.056383,188.056446,0.063,0.335,C7 H10 N O5    ,7,10,1,5,0,
-1000.00,2170402,188.976585,188.976422,-0.163,-0.860,C8 H N2 O2 S   ,8,1,2,2,1,
-1000.00,2366288,189.040569,189.040462,-0.107,-0.567,C7 H9 O6       ,7,9,0,6,0,
-1000.00,2535515,189.055696,189.055718,0.022,0.116,C11 H9 O3      ,11,9,0,3,0,
-1000.00,4332139,189.076841,189.076847,0.006,0.032,C8 H13 O5      ,8,13,0,5,0,
377.21,2831388,190.014530,190.014581,0.051,0.267,C9 H4 N O4     ,9,4,1,4,0,
433.51,2341175,190.050887,190.050967,0.080,0.422,C10 H8 N O3    ,10,8,1,3,0,
-1000.00,1999606,190.998568,190.998597,0.029,0.150,C9 H3 O5       ,9,3,0,5,0,
-1000.00,3570705,191.034992,191.034982,-0.009,-0.049,C10 H7 O4      ,10,7,0,4,0,
-1000.00,3751980,191.071339,191.071368,0.028,0.149,C11 H11 O3     ,11,11,0,3,0,
-1000.00,2730567,191.107726,191.107753,0.028,0.144,C12 H15 O2     ,12,15,0,2,0,
309.44,3079930,192.030248,192.030231,-0.017,-0.089,C9 H6 N O4     ,9,6,1,4,0,
-1000.00,3510549,192.066603,192.066617,0.014,0.071,C10 H10 N O3   ,10,10,1,3,0,
-1000.00,7392764,193.050631,193.050632,0.002,0.009,C10 H9 O4      ,10,9,0,4,0,
652.72,2140676,193.061841,193.061866,0.025,0.129,C9 H9 N2 O3    ,9,9,2,3,0,
-1000.00,7824919,193.087011,193.087018,0.007,0.036,C11 H13 O3     ,11,13,0,3,0,
452.14,2783795,193.123401,193.123403,0.002,0.012,C12 H17 O2     ,12,17,0,2,0,
452.06,2419911,193.991620,193.991738,0.118,0.606,C8 H4 N O3 S   ,8,4,1,3,1,
-1000.00,5318896,194.045898,194.045881,-0.017,-0.086,C9 H8 N O4     ,9,8,1,4,0,
-1000.00,1997324,194.082254,194.082267,0.012,0.064,C10 H12 N O3   ,10,12,1,3,0,
-1000.00,6483939,195.029905,195.029897,-0.008,-0.040,C9 H7 O5       ,9,7,0,5,0,
634.05,3064811,195.041205,195.041130,-0.075,-0.383,C8 H7 N2 O4    ,8,7,2,4,0,
27.45,13447166,195.066279,195.066282,0.003,0.015,C10 H11 O4     ,10,11,0,4,0,
-1000.00,6363163,195.102666,195.102668,0.002,0.011,C11 H15 O3     ,11,15,0,3,0,
577.94,2060854,195.139124,195.139053,-0.071,-0.364,C12 H19 O2     ,12,19,0,2,0,
260.85,6574788,195.984917,195.984738,-0.179,-0.914,C2 H2 N3 O8    ,2,2,3,8,0,
228.65,5416133,195.986119,195.986258,0.139,0.711,C11 H2 N O S   ,11,2,1,1,1,
-1000.00,2320611,196.025175,196.025146,-0.029,-0.149,C8 H6 N O5     ,8,6,1,5,0,
-1000.00,8866559,196.061526,196.061531,0.006,0.029,C9 H10 N O4    ,9,10,1,4,0,
606.06,2021128,196.072803,196.072765,-0.039,-0.196,C8 H10 N3 O3   ,8,10,3,3,0,
-1000.00,2469856,197.009144,197.009161,0.017,0.088,C8 H5 O6       ,8,5,0,6,0,
526.97,2086760,197.020314,197.020395,0.080,0.408,C7 H5 N2 O5    ,7,5,2,5,0,
29.55,14284284,197.045543,197.045547,0.004,0.022,C9 H9 O5       ,9,9,0,5,0,
445.62,2006015,197.048917,197.048918,0.001,0.005,C6 H13 O5 S    ,6,13,0,5,1,
659.75,3238917,197.056817,197.056780,-0.037,-0.186,C8 H9 N2 O4    ,8,9,2,4,0,
4.89,21657112,197.081931,197.081932,0.002,0.009,C10 H13 O4     ,10,13,0,4,0,
387.35,3163701,197.118329,197.118318,-0.011,-0.054,C11 H17 O3     ,11,17,0,3,0,
-1000.00,4614407,198.040763,198.040796,0.033,0.166,C8 H8 N O5     ,8,8,1,5,0,
-1000.00,5074212,198.077178,198.077181,0.004,0.018,C9 H12 N O4    ,9,12,1,4,0,
-1000.00,4028416,199.007026,199.007053,0.027,0.136,C8 H7 O4 S     ,8,7,0,4,1,
-1000.00,3231246,199.024749,199.024812,0.062,0.312,C8 H7 O6       ,8,7,0,6,0,
43.68,24165420,199.061193,199.061197,0.005,0.023,C9 H11 O5      ,9,11,0,5,0,
-1000.00,2083895,199.076519,199.076453,-0.066,-0.331,C13 H11 O2     ,13,11,0,2,0,
93.62,13839432,199.097576,199.097583,0.007,0.034,C10 H15 O4     ,10,15,0,4,0,
503.21,2159650,200.017737,200.017559,-0.178,-0.891,C11 H6 N O S   ,11,6,1,1,1,
205.58,6020929,200.056446,200.056446,0.000,0.001,C8 H10 N O5    ,8,10,1,5,0,
457.87,2337629,200.092808,200.092832,0.024,0.120,C9 H14 N O4    ,9,14,1,4,0,
-1000.00,2311235,201.022685,201.022704,0.019,0.092,C8 H9 O4 S     ,8,9,0,4,1,
161.46,7664209,201.040464,201.040462,-0.003,-0.014,C8 H9 O6       ,8,9,0,6,0,
-1000.00,2441309,201.055730,201.055718,-0.013,-0.063,C12 H9 O3      ,12,9,0,3,0,
15.29,21221998,201.076844,201.076847,0.003,0.017,C9 H13 O5      ,9,13,0,5,0,
-1000.00,9398923,201.113228,201.113233,0.005,0.024,C10 H17 O4     ,10,17,0,4,0,
543.77,2618236,202.050950,202.050967,0.016,0.081,C11 H8 N O3    ,11,8,1,3,0,
500.97,3815821,202.072130,202.072096,-0.034,-0.167,C8 H12 N O5    ,8,12,1,5,0,
-1000.00,2890875,203.001947,203.001968,0.021,0.105,C7 H7 O5 S     ,7,7,0,5,1,
-1000.00,4297877,203.035005,203.034982,-0.023,-0.112,C11 H7 O4      ,11,7,0,4,0,
620.11,2132638,203.046205,203.046216,0.011,0.054,C10 H7 N2 O3   ,10,7,2,3,0,
-1000.00,7223462,203.056123,203.056112,-0.011,-0.055,C8 H11 O6      ,8,11,0,6,0,
295.98,4058291,203.071340,203.071368,0.028,0.137,C12 H11 O3     ,12,11,0,3,0,
-1000.00,5669060,203.092498,203.092497,-0.001,-0.004,C9 H15 O5      ,9,15,0,5,0,
-1000.00,3449552,203.107769,203.107753,-0.016,-0.077,C13 H15 O2     ,13,15,0,2,0,
-1000.00,2667452,204.030238,204.030231,-0.007,-0.035,C10 H6 N O4    ,10,6,1,4,0,
260.17,3961817,204.066622,204.066617,-0.006,-0.028,C11 H10 N O3   ,11,10,1,3,0,
-1000.00,2713309,205.014259,205.014247,-0.013,-0.061,C10 H5 O5      ,10,5,0,5,0,
488.80,2215136,205.017651,205.017618,-0.032,-0.158,C7 H9 O5 S     ,7,9,0,5,1,
591.18,2514662,205.025438,205.025480,0.042,0.207,C9 H5 N2 O4    ,9,5,2,4,0,
-1000.00,8015611,205.050622,205.050632,0.010,0.050,C11 H9 O4      ,11,9,0,4,0,
-1000.00,5033753,205.086993,205.087018,0.025,0.120,C12 H13 O3     ,12,13,0,3,0,
-1000.00,2252598,205.123359,205.123403,0.045,0.218,C13 H17 O2     ,13,17,0,2,0,
532.16,2036491,206.009576,206.009496,-0.081,-0.391,C9 H4 N O5     ,9,4,1,5,0,
-1000.00,5308969,206.045888,206.045881,-0.006,-0.031,C10 H8 N O4    ,10,8,1,4,0,
-1000.00,2943559,206.082309,206.082267,-0.042,-0.204,C11 H12 N O3   ,11,12,1,3,0,
207.52,4668739,207.012125,207.012139,0.014,0.067,C10 H7 O3 S    ,10,7,0,3,1,
109.25,6913362,207.029902,207.029897,-0.005,-0.026,C10 H7 O5      ,10,7,0,5,0,
317.92,2879829,207.033235,207.033268,0.034,0.162,C7 H11 O5 S    ,7,11,0,5,1,
638.01,2696539,207.041172,207.041130,-0.041,-0.200,C9 H7 N2 O4    ,9,7,2,4,0,
-1000.00,11595120,207.066287,207.066282,-0.005,-0.022,C11 H11 O4     ,11,11,0,4,0,
124.09,6172046,207.102642,207.102668,0.026,0.125,C12 H15 O3     ,12,15,0,3,0,
-1000.00,3972231,208.025151,208.025146,-0.005,-0.025,C9 H6 N O5     ,9,6,1,5,0,
179.29,7024805,208.061536,208.061531,-0.004,-0.021,C10 H10 N O4   ,10,10,1,4,0,
554.15,2056881,208.076290,208.076136,-0.154,-0.739,C6 H14 N3 O3 S ,6,14,3,3,1,
-1000.00,2733251,208.097870,208.097917,0.047,0.225,C11 H14 N O3   ,11,14,1,3,0,
410.97,2402511,208.112296,208.112522,0.225,1.083,C7 H18 N3 O2 S ,7,18,3,2,1,
-1000.00,2155943,208.991325,208.991403,0.078,0.375,C9 H5 O4 S     ,9,5,0,4,1,
-1000.00,2527158,209.009329,209.009161,-0.168,-0.802,C9 H5 O6       ,9,5,0,6,0,
-1000.00,13278164,209.045546,209.045547,0.001,0.003,C10 H9 O5      ,10,9,0,5,0,
678.01,2536926,209.056791,209.056780,-0.010,-0.050,C9 H9 N2 O4    ,9,9,2,4,0,
4.79,20618226,209.081940,209.081932,-0.008,-0.038,C11 H13 O4     ,11,13,0,4,0,
-1000.00,3978257,209.118352,209.118318,-0.034,-0.164,C12 H17 O3     ,12,17,0,3,0,
-1000.00,3288111,209.154744,209.154703,-0.041,-0.195,C13 H21 O2     ,13,21,0,2,0,
516.92,2054913,210.022995,210.023038,0.043,0.203,C9 H8 N O3 S   ,9,8,1,3,1,
-1000.00,8460048,210.040799,210.040796,-0.003,-0.013,C9 H8 N O5     ,9,8,1,5,0,
-1000.00,8167214,210.077183,210.077181,-0.002,-0.007,C10 H12 N O4   ,10,12,1,4,0,
472.54,2041154,211.022442,211.022310,-0.133,-0.629,C13 H7 O S     ,13,7,0,1,1,
104.94,8686148,211.024795,211.024812,0.017,0.080,C9 H7 O6       ,9,7,0,6,0,
634.56,3630670,211.036089,211.036045,-0.044,-0.208,C8 H7 N2 O5    ,8,7,2,5,0,
6.13,31548002,211.061200,211.061197,-0.003,-0.014,C10 H11 O5     ,10,11,0,5,0,
673.40,4594284,211.072423,211.072430,0.008,0.037,C9 H11 N2 O4   ,9,11,2,4,0,
16.65,22381186,211.097582,211.097583,0.000,0.000,C11 H15 O4     ,11,15,0,4,0,
-1000.00,2365600,211.133993,211.133968,-0.025,-0.117,C12 H19 O3     ,12,19,0,3,0,
481.47,3056517,212.020045,212.020060,0.015,0.072,C8 H6 N O6     ,8,6,1,6,0,
496.76,2420622,212.031269,212.031294,0.025,0.119,C7 H6 N3 O5    ,7,6,3,5,0,
55.11,10749347,212.056452,212.056446,-0.006,-0.030,C9 H10 N O5    ,9,10,1,5,0,
-1000.00,2568130,212.092844,212.092832,-0.013,-0.059,C10 H14 N O4   ,10,14,1,4,0,
620.78,2231226,212.998172,212.998203,0.031,0.144,C15 H O2       ,15,1,0,2,0,
-1000.00,4394190,213.022693,213.022704,0.011,0.052,C9 H9 O4 S     ,9,9,0,4,1,
101.52,16275677,213.040466,213.040462,-0.004,-0.019,C9 H9 O6       ,9,9,0,6,0,
-1000.00,2377962,213.055779,213.055718,-0.062,-0.289,C13 H9 O3      ,13,9,0,3,0,
542.83,2225133,213.058990,213.059089,0.099,0.464,C10 H13 O3 S   ,10,13,0,3,1,
19.71,48834812,213.076855,213.076847,-0.008,-0.037,C10 H13 O5     ,10,13,0,5,0,
-1000.00,12001562,213.113224,213.113233,0.008,0.039,C11 H17 O4     ,11,17,0,4,0,
506.60,2524194,214.035762,214.035711,-0.052,-0.242,C8 H8 N O6     ,8,8,1,6,0,
-1000.00,10615873,214.072099,214.072096,-0.003,-0.016,C9 H12 N O5    ,9,12,1,5,0,
-1000.00,3673937,215.001986,215.001968,-0.017,-0.081,C8 H7 O5 S     ,8,7,0,5,1,
507.14,3011949,215.034939,215.034982,0.043,0.202,C12 H7 O4      ,12,7,0,4,0,
73.35,27299710,215.056118,215.056112,-0.006,-0.028,C9 H11 O6      ,9,11,0,6,0,
28.40,23793566,215.092506,215.092497,-0.008,-0.039,C10 H15 O5     ,10,15,0,5,0,
-1000.00,12093372,215.128882,215.128883,0.000,0.002,C11 H19 O4     ,11,19,0,4,0,
-1000.00,2218971,215.165288,215.165268,-0.020,-0.092,C12 H23 O3     ,12,23,0,3,0,
566.73,3268793,216.033568,216.033603,0.035,0.160,C8 H10 N O4 S  ,8,10,1,4,1,
503.84,4835016,216.051381,216.051361,-0.021,-0.096,C8 H10 N O6    ,8,10,1,6,0,
643.32,2848999,216.087720,216.087746,0.026,0.120,C9 H14 N O5    ,9,14,1,5,0,
260.24,3486202,217.017629,217.017618,-0.011,-0.051,C8 H9 O5 S     ,8,9,0,5,1,
429.26,3620361,217.035377,217.035376,-0.001,-0.003,C8 H9 O7       ,8,9,0,7,0,
381.58,4833814,217.050685,217.050632,-0.052,-0.241,C12 H9 O4      ,12,9,0,4,0,
620.78,2565152,217.061881,217.061866,-0.015,-0.070,C11 H9 N2 O3   ,11,9,2,3,0,
90.32,16090664,217.071771,217.071762,-0.009,-0.042,C9 H13 O6      ,9,13,0,6,0,
498.38,3628597,217.086974,217.087018,0.044,0.201,C13 H13 O3     ,13,13,0,3,0,
15.51,31176248,217.090405,217.090389,-0.016,-0.072,C10 H17 O3 S   ,10,17,0,3,1,
108.86,12561991,217.108164,217.108147,-0.017,-0.077,C10 H17 O5     ,10,17,0,5,0,
-1000.00,2520148,217.123435,217.123403,-0.031,-0.144,C14 H17 O2     ,14,17,0,2,0,
397.35,3095142,217.144512,217.144533,0.021,0.098,C11 H21 O4     ,11,21,0,4,0,
-1000.00,2223430,218.012871,218.012867,-0.004,-0.019,C7 H8 N O5 S   ,7,8,1,5,1,
425.46,3789154,218.045922,218.045881,-0.041,-0.188,C11 H8 N O4    ,11,8,1,4,0,
439.97,2060161,218.082241,218.082267,0.026,0.118,C12 H12 N O3   ,12,12,1,3,0,
109.35,7300262,219.029901,219.029897,-0.004,-0.019,C11 H7 O5      ,11,7,0,5,0,
195.23,3998889,219.033271,219.033268,-0.003,-0.011,C8 H11 O5 S    ,8,11,0,5,1,
643.50,2725552,219.041208,219.041130,-0.077,-0.353,C10 H7 N2 O4   ,10,7,2,4,0,
523.92,3674808,219.051036,219.051026,-0.009,-0.043,C8 H11 O7      ,8,11,0,7,0,
-1000.00,9675973,219.066305,219.066282,-0.023,-0.104,C12 H11 O4     ,12,11,0,4,0,
-1000.00,3736791,219.087427,219.087412,-0.015,-0.070,C9 H15 O6      ,9,15,0,6,0,
-1000.00,5273828,219.102719,219.102668,-0.051,-0.235,C13 H15 O3     ,13,15,0,3,0,
612.48,2069230,219.113984,219.113901,-0.082,-0.375,C12 H15 N2 O2  ,12,15,2,2,0,
-1000.00,4518901,220.025137,220.025146,0.009,0.040,C10 H6 N O5    ,10,6,1,5,0,
276.75,6158356,220.061564,220.061531,-0.033,-0.150,C11 H10 N O4   ,11,10,1,4,0,
354.91,2821682,220.097885,220.097917,0.032,0.146,C12 H14 N O3   ,12,14,1,3,0,
418.14,4141882,221.009159,221.009161,0.003,0.013,C10 H5 O6      ,10,5,0,6,0,
-1000.00,13435737,221.045563,221.045547,-0.016,-0.070,C11 H9 O5      ,11,9,0,5,0,
198.74,4234076,221.048968,221.048918,-0.050,-0.227,C8 H13 O5 S    ,8,13,0,5,1,
651.69,3372387,221.056824,221.056780,-0.043,-0.197,C10 H9 N2 O4   ,10,9,2,4,0,
32.83,17011576,221.081954,221.081932,-0.022,-0.099,C12 H13 O4     ,12,13,0,4,0,
-1000.00,7048087,221.118358,221.118318,-0.040,-0.179,C13 H17 O3     ,13,17,0,3,0,
-1000.00,4130742,221.154716,221.154703,-0.013,-0.057,C14 H21 O2     ,14,21,0,2,0,
66.37,9221801,222.040823,222.040796,-0.027,-0.121,C10 H8 N O5    ,10,8,1,5,0,
157.67,7718600,222.077206,222.077181,-0.025,-0.110,C11 H12 N O4   ,11,12,1,4,0,
72.49,8899056,223.024823,223.024812,-0.011,-0.051,C10 H7 O6      ,10,7,0,6,0,
498.83,2257395,223.028268,223.028183,-0.086,-0.384,C7 H11 O6 S    ,7,11,0,6,1,
636.99,3878394,223.036052,223.036045,-0.008,-0.034,C9 H7 N2 O5    ,9,7,2,5,0,
546.79,2216960,223.043489,223.043439,-0.050,-0.224,C11 H11 O3 S   ,11,11,0,3,1,
8.43,21846542,223.061220,223.061197,-0.023,-0.103,C11 H11 O5     ,11,11,0,5,0,
443.89,3104274,223.064578,223.064568,-0.010,-0.043,C8 H15 O5 S    ,8,15,0,5,1,
667.72,5495321,223.072483,223.072430,-0.052,-0.234,C10 H11 N2 O4  ,10,11,2,4,0,
15.95,24390190,223.097602,223.097583,-0.019,-0.085,C12 H15 O4     ,12,15,0,4,0,
-1000.00,4302413,223.133949,223.133968,0.019,0.087,C13 H19 O3     ,13,19,0,3,0,
263.41,4488513,224.020086,224.020060,-0.025,-0.113,C9 H6 N O6     ,9,6,1,6,0,
-1000.00,11574624,224.056455,224.056446,-0.009,-0.039,C10 H10 N O5   ,10,10,1,5,0,
729.76,2101357,224.071900,224.071702,-0.197,-0.881,C14 H10 N O2   ,14,10,1,2,0,
-1000.00,6845823,224.092846,224.092832,-0.014,-0.063,C11 H14 N O4   ,11,14,1,4,0,
502.65,2592136,224.104050,224.104065,0.015,0.068,C10 H14 N3 O3  ,10,14,3,3,0,
-1000.00,2589832,225.004094,225.004076,-0.018,-0.082,C9 H5 O7       ,9,5,0,7,0,
487.10,2800792,225.022769,225.022704,-0.066,-0.291,C10 H9 O4 S    ,10,9,0,4,1,
-1000.00,18399398,225.040480,225.040462,-0.019,-0.083,C10 H9 O6      ,10,9,0,6,0,
554.23,2255530,225.043740,225.043833,0.093,0.413,C7 H13 O6 S    ,7,13,0,6,1,
664.24,5323952,225.051721,225.051695,-0.026,-0.116,C9 H9 N2 O5    ,9,9,2,5,0,
8.91,48640196,225.076859,225.076847,-0.012,-0.055,C11 H13 O5     ,11,13,0,5,0,
683.71,3469519,225.088118,225.088080,-0.038,-0.167,C10 H13 N2 O4  ,10,13,2,4,0,
58.76,17920228,225.113259,225.113233,-0.027,-0.118,C12 H17 O4     ,12,17,0,4,0,
413.62,2826216,226.017999,226.017952,-0.047,-0.206,C9 H8 N O4 S   ,9,8,1,4,1,
93.81,7760888,226.035735,226.035711,-0.024,-0.108,C9 H8 N O6     ,9,8,1,6,0,
-1000.00,13526038,226.072111,226.072096,-0.015,-0.065,C10 H12 N O5   ,10,12,1,5,0,
328.32,2897461,226.108416,226.108482,0.065,0.289,C11 H16 N O4   ,11,16,1,4,0,
395.64,3177263,227.002003,227.001968,-0.035,-0.153,C9 H7 O5 S     ,9,7,0,5,1,
-1000.00,5228350,227.019729,227.019726,-0.003,-0.014,C9 H7 O7       ,9,7,0,7,0,
502.84,4467534,227.038380,227.038354,-0.026,-0.116,C10 H11 O4 S   ,10,11,0,4,1,
13.43,44652380,227.056125,227.056112,-0.013,-0.057,C10 H11 O6     ,10,11,0,6,0,
675.30,5216103,227.067362,227.067345,-0.017,-0.075,C9 H11 N2 O5   ,9,11,2,5,0,
16.77,56571772,227.092520,227.092497,-0.023,-0.100,C11 H15 O5     ,11,15,0,5,0,
-1000.00,8648603,227.128885,227.128883,-0.002,-0.010,C12 H19 O4     ,12,19,0,4,0,
528.13,2438298,228.029361,228.029580,0.219,0.958,C4 H10 N3 O6 S ,4,10,3,6,1,
442.99,2366622,228.033640,228.033603,-0.037,-0.163,C9 H10 N O4 S  ,9,10,1,4,1,
146.39,9339565,228.051372,228.051361,-0.012,-0.051,C9 H10 N O6    ,9,10,1,6,0,
158.52,8024780,228.087776,228.087746,-0.030,-0.130,C10 H14 N O5   ,10,14,1,5,0,
429.43,2833366,229.002263,229.002362,0.099,0.433,C5 H9 O8 S     ,5,9,0,8,1,
156.38,10900963,229.017627,229.017618,-0.009,-0.039,C9 H9 O5 S     ,9,9,0,5,1,
87.27,18669042,229.035379,229.035376,-0.003,-0.012,C9 H9 O7       ,9,9,0,7,0,
633.45,3640832,229.050647,229.050632,-0.015,-0.066,C13 H9 O4      ,13,9,0,4,0,
15.21,60505616,229.071775,229.071762,-0.014,-0.060,C10 H13 O6     ,10,13,0,6,0,
675.31,2288155,229.082975,229.082995,0.020,0.087,C9 H13 N2 O5   ,9,13,2,5,0,
-1000.00,3410463,229.087073,229.087018,-0.055,-0.242,C14 H13 O3     ,14,13,0,3,0,
10.63,23871024,229.108156,229.108147,-0.008,-0.036,C11 H17 O5     ,11,17,0,5,0,
-1000.00,7126608,229.144554,229.144533,-0.021,-0.091,C12 H21 O4     ,12,21,0,4,0,
362.48,4093234,230.012908,230.012867,-0.041,-0.178,C8 H8 N O5 S   ,8,8,1,5,1,
600.73,3002190,230.045864,230.045881,0.017,0.074,C12 H8 N O4    ,12,8,1,4,0,
487.26,2277713,230.049329,230.049253,-0.077,-0.334,C9 H12 N O4 S  ,9,12,1,4,1,
180.17,7698784,230.066997,230.067011,0.013,0.057,C9 H12 N O6    ,9,12,1,6,0,
634.04,2137453,230.082211,230.082267,0.056,0.242,C13 H12 N O3   ,13,12,1,3,0,
417.85,3873663,230.103355,230.103396,0.042,0.181,C10 H16 N O5   ,10,16,1,5,0,
-1000.00,3076725,230.996860,230.996883,0.022,0.097,C8 H7 O6 S     ,8,7,0,6,1,
-1000.00,4191377,231.029904,231.029897,-0.007,-0.030,C12 H7 O5      ,12,7,0,5,0,
