mSigma,Observed Intens,Observed m/z,calc. m/z,err mDa,err ppm,sum formula,C,H,N,O,S,
-1000.00,1919495,94.004734,94.004685,-0.049,-0.523,C3 N3 O        ,3,0,3,1,0,
-1000.00,2013766,108.045602,108.045487,-0.115,-1.060,C6 H6 N O      ,6,6,1,1,0,
546.31,1968416,112.040514,112.040402,-0.112,-1.000,C5 H6 N O2     ,5,6,1,2,0,
-1000.00,2083492,112.988035,112.988032,-0.003,-0.028,C4 H O4        ,4,1,0,4,0,
598.24,1900200,113.976720,113.976756,0.036,0.319,C2 N3 O S      ,2,0,3,1,1,
-1000.00,2218921,115.051321,115.051301,-0.020,-0.177,C4 H7 N2 O2    ,4,7,2,2,0,
-1000.00,1913757,124.051500,124.051635,0.135,1.092,C5 H6 N3 O     ,5,6,3,1,0,
-1000.00,1962594,133.098314,133.098251,-0.063,-0.473,C5 H13 N2 O2   ,5,13,2,2,0,
568.55,2147395,142.965443,142.965583,0.139,0.975,C H3 O6 S      ,1,3,0,6,1,
-1000.00,1929242,145.029375,145.029503,0.128,0.883,C9 H5 O2       ,9,5,0,2,0,
-1000.00,1958414,149.994652,149.994514,-0.137,-0.915,C5 N3 O3       ,5,0,3,3,0,
559.95,1986619,152.056612,152.056446,-0.166,-1.093,C4 H10 N O5    ,4,10,1,5,0,
555.20,1970284,154.980788,154.980839,0.051,0.326,C6 H3 O3 S     ,6,3,0,3,1,
533.79,2102405,156.962448,156.962605,0.157,1.002,C H O9         ,1,1,0,9,0,
-1000.00,1955500,157.970682,157.970608,-0.074,-0.467,C8 N O S       ,8,0,1,1,1,
-1000.00,1991436,163.977023,163.977150,0.127,0.774,C2 H2 N3 O4 S  ,2,2,3,4,1,
-1000.00,17093402,165.019344,165.019332,-0.012,-0.074,C8 H5 O4       ,8,5,0,4,0,
-1000.00,3048493,165.055701,165.055718,0.017,0.104,C9 H9 O3       ,9,9,0,3,0,
