mSigma,Observed Intens,Observed m/z,calc. m/z,err mDa,err ppm,sum formula,C,H,N,O,S,
581.48,3467513,355.116414,355.116210,-0.204,-0.576,C24 H19 O S    ,24,19,0,1,1,
677.30,8306683,355.118673,355.118712,0.039,0.110,C20 H19 O6     ,20,19,0,6,0,
29.72,96401416,355.139852,355.139841,-0.011,-0.030,C17 H23 O8     ,17,23,0,8,0,
601.96,4579347,355.151099,355.151075,-0.024,-0.067,C16 H23 N2 O7  ,16,23,2,7,0,
677.39,4679702,355.155217,355.155097,-0.119,-0.336,C21 H23 O5     ,21,23,0,5,0,
479.82,9480216,355.158425,355.158469,0.043,0.122,C18 H27 O5 S   ,18,27,0,5,1,
84.41,36304932,355.176212,355.176227,0.015,0.042,C18 H27 O7     ,18,27,0,7,0,
423.32,7192627,355.194871,355.194854,-0.016,-0.046,C19 H31 O4 S   ,19,31,0,4,1,
-1000.00,11061312,355.212642,355.212612,-0.029,-0.083,C19 H31 O6     ,19,31,0,6,0,
117.23,23877708,355.227847,355.227868,0.021,0.059,C23 H31 O3     ,23,31,0,3,0,
-1000.00,5308507,355.248923,355.248998,0.074,0.209,C20 H35 O5     ,20,35,0,5,0,
563.78,5657232,356.008069,356.008176,0.107,0.301,C13 H10 N O9 S ,13,10,1,9,1,
594.81,7715496,356.041210,356.041190,-0.020,-0.056,C17 H10 N O8   ,17,10,1,8,0,
488.40,6795947,356.044547,356.044561,0.014,0.041,C14 H14 N O8 S ,14,14,1,8,1,
122.08,19077816,356.062325,356.062319,-0.006,-0.016,C14 H14 N O10  ,14,14,1,10,0,
679.24,3366592,356.073461,356.073553,0.092,0.258,C13 H14 N3 O9  ,13,14,3,9,0,
622.06,7041731,356.077636,356.077575,-0.060,-0.169,C18 H14 N O7   ,18,14,1,7,0,
499.36,4985542,356.080823,356.080947,0.124,0.348,C15 H18 N O7 S ,15,18,1,7,1,
654.43,5614284,356.088875,356.088809,-0.067,-0.187,C17 H14 N3 O6  ,17,14,3,6,0,
161.25,26213074,356.098738,356.098705,-0.033,-0.094,C15 H18 N O9   ,15,18,1,9,0,
650.86,4408028,356.109915,356.109938,0.023,0.065,C14 H18 N3 O8  ,14,18,3,8,0,
633.51,3388126,356.113937,356.113961,0.024,0.068,C19 H18 N O6   ,19,18,1,6,0,
161.01,14277358,356.135122,356.135090,-0.032,-0.090,C16 H22 N O8   ,16,22,1,8,0,
708.16,3654390,356.146276,356.146324,0.047,0.132,C15 H22 N3 O7  ,15,22,3,7,0,
294.97,5063433,356.171478,356.171476,-0.002,-0.007,C17 H26 N O7   ,17,26,1,7,0,
436.50,5266796,356.992134,356.992191,0.057,0.160,C13 H9 O10 S   ,13,9,0,10,1,
511.09,4427129,357.009914,357.009949,0.035,0.098,C13 H9 O12     ,13,9,0,12,0,
248.75,16887172,357.025242,357.025205,-0.037,-0.103,C17 H9 O9      ,17,9,0,9,0,
339.66,10599815,357.028580,357.028577,-0.003,-0.008,C14 H13 O9 S   ,14,13,0,9,1,
620.03,3770765,357.036639,357.036439,-0.200,-0.562,C16 H9 N2 O8   ,16,9,2,8,0,
566.89,2676111,357.039839,357.039810,-0.029,-0.081,C13 H13 N2 O8 S,13,13,2,8,1,
74.67,50445716,357.046324,357.046335,0.011,0.031,C14 H13 O11    ,14,13,0,11,0,
149.90,16809376,357.061623,357.061591,-0.032,-0.089,C18 H13 O8     ,18,13,0,8,0,
441.13,17046946,357.064945,357.064962,0.017,0.047,C15 H17 O8 S   ,15,17,0,8,1,
690.01,10042792,357.072992,357.072824,-0.168,-0.470,C17 H13 N2 O7  ,17,13,2,7,0,
635.39,5679530,357.076302,357.076196,-0.106,-0.297,C14 H17 N2 O7 S,14,17,2,7,1,
196.95,93322672,357.082731,357.082720,-0.010,-0.029,C15 H17 O10    ,15,17,0,10,0,
575.47,6990258,357.085918,357.086092,0.174,0.487,C12 H21 O10 S  ,12,21,0,10,1,
561.37,11890103,357.093944,357.093954,0.009,0.027,C14 H17 N2 O9  ,14,17,2,9,0,
556.33,5173689,357.095853,357.095475,-0.378,-1.060,C23 H17 O2 S   ,23,17,0,2,1,
353.87,16117178,357.097988,357.097976,-0.011,-0.031,C19 H17 O7     ,19,17,0,7,0,
446.86,18120124,357.101290,357.101348,0.058,0.163,C16 H21 O7 S   ,16,21,0,7,1,
186.71,87293384,357.119112,357.119106,-0.006,-0.017,C16 H21 O9     ,16,21,0,9,0,
715.36,8519121,357.128801,357.128489,-0.312,-0.874,C27 H17 O      ,27,17,0,1,0,
574.12,7116243,357.130308,357.130339,0.031,0.086,C15 H21 N2 O8  ,15,21,2,8,0,
586.37,15855061,357.134404,357.134362,-0.042,-0.118,C20 H21 O6     ,20,21,0,6,0,
496.40,6338008,357.137725,357.137733,0.008,0.024,C17 H25 O6 S   ,17,25,0,6,1,
685.23,2665952,357.148678,357.148967,0.289,0.809,C16 H25 N2 O5 S,16,25,2,5,1,
191.15,44219876,357.155475,357.155491,0.016,0.045,C17 H25 O8     ,17,25,0,8,0,
537.45,8941040,357.170774,357.170747,-0.026,-0.074,C21 H25 O5     ,21,25,0,5,0,
488.75,3929587,357.174045,357.174119,0.073,0.206,C18 H29 O5 S   ,18,29,0,5,1,
148.74,14822912,357.191915,357.191877,-0.038,-0.106,C18 H29 O7     ,18,29,0,7,0,
564.32,3028492,357.207113,357.207133,0.020,0.055,C22 H29 O4     ,22,29,0,4,0,
-1000.00,5604891,357.228264,357.228262,-0.002,-0.006,C19 H33 O6     ,19,33,0,6,0,
478.80,5761129,358.020493,358.020454,-0.038,-0.107,C16 H8 N O9    ,16,8,1,9,0,
610.54,4794476,358.023786,358.023826,0.040,0.111,C13 H12 N O9 S ,13,12,1,9,1,
556.49,5742713,358.041666,358.041584,-0.082,-0.230,C13 H12 N O11  ,13,12,1,11,0,
550.95,13119620,358.056843,358.056840,-0.003,-0.007,C17 H12 N O8   ,17,12,1,8,0,
500.48,7549063,358.060221,358.060211,-0.010,-0.027,C14 H16 N O8 S ,14,16,1,8,1,
457.78,17703060,358.077952,358.077969,0.018,0.049,C14 H16 N O10  ,14,16,1,10,0,
682.00,4068508,358.089182,358.089203,0.021,0.059,C13 H16 N3 O9  ,13,16,3,9,0,
578.27,10748063,358.093278,358.093225,-0.053,-0.147,C18 H16 N O7   ,18,16,1,7,0,
606.11,8249512,358.104567,358.104459,-0.108,-0.302,C17 H16 N3 O6  ,17,16,3,6,0,
