mSigma,Observed Intens,Observed m/z,calc. m/z,err mDa,err ppm,sum formula,C,H,N,O,S,
-1000.00,2230678,104.982971,104.982947,-0.024,-0.230,C2 H O5        ,2,1,0,5,0,
565.98,2092850,106.014646,106.014581,-0.064,-0.607,C2 H4 N O4     ,2,4,1,4,0,
490.17,2388731,121.029464,121.029503,0.039,0.318,C7 H5 O2       ,7,5,0,2,0,
-1000.00,1920585,123.019928,123.020001,0.073,0.591,C5 H3 N2 O2    ,5,3,2,2,0,
-1000.00,1900147,124.972745,124.972776,0.031,0.249,C H O7         ,1,1,0,7,0,
-1000.00,2101300,125.983262,125.983281,0.019,0.152,C4 N O4        ,4,0,1,4,0,
602.03,1953231,128.017489,128.017559,0.069,0.542,C5 H6 N O S    ,5,6,1,1,1,
-1000.00,1948605,132.977978,132.977861,-0.116,-0.874,C3 H O6        ,3,1,0,6,0,
-1000.00,1982532,133.069292,133.069260,-0.033,-0.245,C6 H13 O S     ,6,13,0,1,1,
659.05,2383730,139.040022,139.040068,0.046,0.329,C7 H7 O3       ,7,7,0,3,0,
-1000.00,2007895,143.013757,143.013853,0.096,0.668,C9 H3 O2       ,9,3,0,2,0,
-1000.00,2683189,145.050666,145.050632,-0.034,-0.231,C6 H9 O4       ,6,9,0,4,0,
469.88,2303781,151.040022,151.040068,0.046,0.303,C8 H7 O3       ,8,7,0,3,0,
-1000.00,1969488,152.965160,152.965189,0.029,0.187,C6 H O3 S      ,6,1,0,3,1,
-1000.00,1974500,153.019334,153.019332,-0.001,-0.009,C7 H5 O4       ,7,5,0,4,0,
-1000.00,2813681,153.055710,153.055718,0.008,0.051,C8 H9 O3       ,8,9,0,3,0,
364.23,2986713,154.998578,154.998597,0.018,0.119,C6 H3 O5       ,6,3,0,5,0,
429.62,1927271,155.987272,155.987321,0.049,0.315,C4 H2 N3 O2 S  ,4,2,3,2,1,
-1000.00,1997346,157.050610,157.050632,0.023,0.144,C7 H9 O4       ,7,9,0,4,0,
-1000.00,3225143,157.098165,157.098251,0.087,0.552,C7 H13 N2 O2   ,7,13,2,2,0,
-1000.00,2078699,158.978382,158.978255,-0.127,-0.800,C H3 O9        ,1,3,0,9,0,
-1000.00,1940123,161.024384,161.024418,0.033,0.206,C9 H5 O3       ,9,5,0,3,0,
