mSigma,Observed Intens,Observed m/z,calc. m/z,err mDa,err ppm,sum formula,C,H,N,O,S,
-1000.00,1978039,98.024793,98.024752,-0.041,-0.419,C4 H4 N O2     ,4,4,1,2,0,
-1000.00,2036703,103.087708,103.087687,-0.021,-0.206,C4 H11 N2 O    ,4,11,2,1,0,
-1000.00,1916574,108.020223,108.020335,0.113,1.044,C4 H2 N3 O     ,4,2,3,1,0,
573.82,1991243,119.046160,119.046216,0.056,0.468,C3 H7 N2 O3    ,3,7,2,3,0,
-1000.00,2225013,130.004821,130.004685,-0.136,-1.046,C6 N3 O        ,6,0,3,1,0,
-1000.00,2130241,131.987440,131.987321,-0.119,-0.903,C2 H2 N3 O2 S  ,2,2,3,2,1,
-1000.00,2105492,138.059490,138.059423,-0.067,-0.484,C4 H12 N O2 S  ,4,12,1,2,1,
445.21,2426345,139.040062,139.040068,0.005,0.038,C7 H7 O3       ,7,7,0,3,0,
590.03,1971817,139.043590,139.043439,-0.151,-1.084,C4 H11 O3 S    ,4,11,0,3,1,
689.33,2352386,141.019267,141.019332,0.066,0.465,C6 H5 O4       ,6,5,0,4,0,
572.97,2088470,142.983248,142.983341,0.093,0.650,C H3 O8        ,1,3,0,8,0,
-1000.00,2235529,145.069285,145.069260,-0.025,-0.175,C7 H13 O S     ,7,13,0,1,1,
-1000.00,1914750,150.970549,150.970668,0.119,0.787,C3 H3 O5 S     ,3,3,0,5,1,
492.48,2127721,151.994886,151.994908,0.023,0.149,C H2 N3 O6     ,1,2,3,6,0,
-1000.00,2154952,152.949927,152.949933,0.006,0.038,C2 H O6 S      ,2,1,0,6,1,
485.97,2316902,154.998598,154.998597,-0.002,-0.010,C6 H3 O5       ,6,3,0,5,0,
-1000.00,2257600,157.050665,157.050632,-0.032,-0.206,C7 H9 O4       ,7,9,0,4,0,
500.43,1948868,157.061818,157.061866,0.048,0.303,C6 H9 N2 O3    ,6,9,2,3,0,
576.11,1937242,157.988505,157.988366,-0.139,-0.878,C8 N O3        ,8,0,1,3,0,
508.32,2534080,163.040052,163.040068,0.015,0.094,C9 H7 O3       ,9,7,0,3,0,
593.07,2013339,163.965978,163.965917,-0.061,-0.371,C3 H2 N O5 S   ,3,2,1,5,1,
13.22,27313860,165.019339,165.019332,-0.007,-0.041,C8 H5 O4       ,8,5,0,4,0,
413.43,2045555,165.106832,165.106708,-0.124,-0.749,C6 H17 N2 O S  ,6,17,2,1,1,
-1000.00,3200777,167.034953,167.034982,0.029,0.176,C8 H7 O4       ,8,7,0,4,0,
-1000.00,3343134,167.071362,167.071368,0.006,0.037,C9 H11 O3      ,9,11,0,3,0,
-1000.00,1972534,168.030245,168.030231,-0.013,-0.079,C7 H6 N O4     ,7,6,1,4,0,
-1000.00,1974865,168.975183,168.975359,0.177,1.046,C10 H O S      ,10,1,0,1,1,
-1000.00,3607911,169.014251,169.014247,-0.004,-0.023,C7 H5 O5       ,7,5,0,5,0,
-1000.00,3986812,169.050638,169.050632,-0.005,-0.032,C8 H9 O4       ,8,9,0,4,0,
-1000.00,2150801,169.086986,169.087018,0.032,0.189,C9 H13 O3      ,9,13,0,3,0,
-1000.00,2362302,170.045885,170.045881,-0.004,-0.023,C7 H8 N O4     ,7,8,1,4,0,
-1000.00,2200048,170.130045,170.129886,-0.159,-0.935,C8 H16 N3 O    ,8,16,3,1,0,
-1000.00,5018138,171.066275,171.066282,0.007,0.043,C8 H11 O4      ,8,11,0,4,0,
-1000.00,2967665,172.061555,172.061531,-0.024,-0.137,C7 H10 N O4    ,7,10,1,4,0,
-1000.00,1993393,173.003426,173.003288,-0.138,-0.795,C13 H O        ,13,1,0,1,0,
75.43,10340555,173.045562,173.045547,-0.015,-0.085,C7 H9 O5       ,7,9,0,5,0,
210.26,6771938,173.081949,173.081932,-0.017,-0.098,C8 H13 O4      ,8,13,0,4,0,
501.05,2218217,173.093130,173.093166,0.036,0.208,C7 H13 N2 O3   ,7,13,2,3,0,
-1000.00,3461368,173.118315,173.118318,0.003,0.016,C9 H17 O3      ,9,17,0,3,0,
-1000.00,7674298,175.061216,175.061197,-0.019,-0.108,C7 H11 O5      ,7,11,0,5,0,
418.92,2474449,175.097576,175.097583,0.007,0.040,C8 H15 O4      ,8,15,0,4,0,
339.20,2963113,177.019324,177.019332,0.008,0.045,C9 H5 O4       ,9,5,0,4,0,
310.19,4259521,177.055697,177.055718,0.021,0.119,C10 H9 O3      ,10,9,0,3,0,
-1000.00,2176729,177.092047,177.092103,0.056,0.317,C11 H13 O2     ,11,13,0,2,0,
-1000.00,2774352,178.050943,178.050967,0.024,0.135,C9 H8 N O3     ,9,8,1,3,0,
-1000.00,13137889,179.034991,179.034982,-0.009,-0.051,C9 H7 O4       ,9,7,0,4,0,
233.53,4137977,179.071384,179.071368,-0.016,-0.090,C10 H11 O3     ,10,11,0,3,0,
-1000.00,2359698,179.107775,179.107753,-0.022,-0.121,C11 H15 O2     ,11,15,0,2,0,
-1000.00,2643841,180.030253,180.030231,-0.022,-0.123,C8 H6 N O4     ,8,6,1,4,0,
-1000.00,4412058,180.066611,180.066617,0.006,0.035,C9 H10 N O3    ,9,10,1,3,0,
14.79,27376930,181.014251,181.014247,-0.004,-0.021,C8 H5 O5       ,8,5,0,5,0,
-1000.00,5424443,181.050623,181.050632,0.010,0.053,C9 H9 O4       ,9,9,0,4,0,
-1000.00,5222741,181.087021,181.087018,-0.003,-0.017,C10 H13 O3     ,10,13,0,3,0,
-1000.00,2655443,182.009441,182.009496,0.055,0.304,C7 H4 N O5     ,7,4,1,5,0,
-1000.00,2186245,182.082203,182.082267,0.064,0.352,C9 H12 N O3    ,9,12,1,3,0,
-1000.00,5047453,183.029898,183.029897,-0.001,-0.004,C8 H7 O5       ,8,7,0,5,0,
96.05,7656118,183.066299,183.066282,-0.017,-0.091,C9 H11 O4      ,9,11,0,4,0,
-1000.00,2890448,183.102646,183.102668,0.022,0.120,C10 H15 O3     ,10,15,0,3,0,
-1000.00,3830647,184.061538,184.061531,-0.007,-0.037,C8 H10 N O4    ,8,10,1,4,0,
-1000.00,1990020,184.976122,184.976147,0.025,0.134,C3 H5 O7 S     ,3,5,0,7,1,
-1000.00,9771062,185.045547,185.045547,-0.000,-0.002,C8 H9 O5       ,8,9,0,5,0,
201.73,6274128,185.081932,185.081932,0.001,0.003,C9 H13 O4      ,9,13,0,4,0,
626.98,5302360,185.093168,185.093166,-0.002,-0.010,C8 H13 N2 O3   ,8,13,2,3,0,
-1000.00,4173930,185.118345,185.118318,-0.027,-0.144,C10 H17 O3     ,10,17,0,3,0,
-1000.00,2186373,185.154753,185.154703,-0.049,-0.266,C11 H21 O2     ,11,21,0,2,0,
275.97,3723039,186.077204,186.077181,-0.023,-0.122,C8 H12 N O4    ,8,12,1,4,0,
-1000.00,18841068,187.061199,187.061197,-0.002,-0.010,C8 H11 O5      ,8,11,0,5,0,
645.63,2042868,187.072244,187.072430,0.186,0.996,C7 H11 N2 O4   ,7,11,2,4,0,
455.79,2157056,187.087697,187.087687,-0.010,-0.054,C11 H11 N2 O   ,11,11,2,1,0,
7.43,21601798,187.097580,187.097583,0.002,0.012,C9 H15 O4      ,9,15,0,4,0,
-1000.00,9494031,187.108833,187.108816,-0.017,-0.092,C8 H15 N2 O3   ,8,15,2,3,0,
6.55,56892960,187.133970,187.133968,-0.002,-0.010,C10 H19 O3     ,10,19,0,3,0,
150.06,8510649,188.035310,188.035317,0.007,0.037,C10 H6 N O3    ,10,6,1,3,0,
-1000.00,2815459,188.092836,188.092832,-0.004,-0.022,C8 H14 N O4    ,8,14,1,4,0,
