mSigma,Observed Intens,Observed m/z,calc. m/z,err mDa,err ppm,sum formula,C,H,N,O,S,
-1000.00,2567992,100.051675,100.051635,-0.040,-0.401,C3 H6 N3 O     ,3,6,3,1,0,
-1000.00,1896191,101.998594,101.998537,-0.057,-0.558,C6 N O         ,6,0,1,1,0,
572.85,1972368,103.018959,103.018938,-0.021,-0.199,C7 H3 O        ,7,3,0,1,0,
-1000.00,2185075,109.032910,109.032874,-0.036,-0.330,C3 H9 O2 S     ,3,9,0,2,1,
-1000.00,2584060,117.989359,117.989429,0.070,0.593,C N3 O4        ,1,0,3,4,0,
-1000.00,2006644,121.999733,121.999600,-0.134,-1.095,C4 N3 O2       ,4,0,3,2,0,
542.22,2273226,133.966564,133.966586,0.021,0.159,C N3 O3 S      ,1,0,3,3,1,
575.98,1896141,133.999523,133.999600,0.077,0.572,C5 N3 O2       ,5,0,3,2,0,
799.48,1960338,134.057226,134.057115,-0.112,-0.832,C3 H8 N3 O3    ,3,8,3,3,0,
-1000.00,2128105,135.059871,135.059758,-0.113,-0.836,C4 H11 N2 O S  ,4,11,2,1,1,
560.29,1990954,135.066169,135.066282,0.114,0.843,C5 H11 O4      ,5,11,0,4,0,
535.25,2222320,137.998522,137.998537,0.015,0.110,C9 N O         ,9,0,1,1,0,
-1000.00,1946313,146.024893,146.024752,-0.141,-0.968,C8 H4 N O2     ,8,4,1,2,0,
-1000.00,2284863,152.967700,152.967691,-0.010,-0.063,C2 H O8        ,2,1,0,8,0,
-1000.00,2237699,155.997242,155.997217,-0.025,-0.162,C2 H6 N O5 S   ,2,6,1,5,1,
-1000.00,2159631,156.030094,156.030231,0.138,0.883,C6 H6 N O4     ,6,6,1,4,0,
-1000.00,2023322,157.050637,157.050632,-0.005,-0.029,C7 H9 O4       ,7,9,0,4,0,
-1000.00,2396619,159.066286,159.066282,-0.003,-0.020,C7 H11 O4      ,7,11,0,4,0,
616.39,2117315,161.986516,161.986652,0.137,0.844,C4 H4 N O4 S   ,4,4,1,4,1,
770.18,1956535,163.076432,163.076453,0.021,0.129,C10 H11 O2     ,10,11,0,2,0,
498.97,1957702,163.108773,163.108816,0.043,0.263,C6 H15 N2 O3   ,6,15,2,3,0,
18.23,66602324,165.019339,165.019332,-0.006,-0.039,C8 H5 O4       ,8,5,0,4,0,
531.15,2117478,165.055753,165.055718,-0.035,-0.215,C9 H9 O3       ,9,9,0,3,0,
-1000.00,1974128,165.076841,165.076847,0.006,0.039,C6 H13 O5      ,6,13,0,5,0,
-1000.00,2225984,167.035022,167.034982,-0.040,-0.237,C8 H7 O4       ,8,7,0,4,0,
-1000.00,2717011,167.071383,167.071368,-0.015,-0.088,C9 H11 O3      ,9,11,0,3,0,
-1000.00,2061346,167.972119,167.972065,-0.054,-0.323,C H2 N3 O5 S   ,1,2,3,5,1,
232.70,4022616,169.050623,169.050632,0.010,0.057,C8 H9 O4       ,8,9,0,4,0,
-1000.00,2723180,169.087051,169.087018,-0.033,-0.193,C9 H13 O3      ,9,13,0,3,0,
-1000.00,2270573,170.045804,170.045881,0.077,0.454,C7 H8 N O4     ,7,8,1,4,0,
-1000.00,6017405,171.012154,171.012139,-0.015,-0.088,C7 H7 O3 S     ,7,7,0,3,1,
-1000.00,3181959,171.029921,171.029897,-0.024,-0.141,C7 H7 O5       ,7,7,0,5,0,
107.49,7253403,171.066290,171.066282,-0.007,-0.042,C8 H11 O4      ,8,11,0,4,0,
