mSigma,Observed Intens,Observed m/z,calc. m/z,err mDa,err ppm,sum formula,C,H,N,O,S,
-1000.00,1907896,96.975346,96.975359,0.013,0.134,C4 H O S       ,4,1,0,1,1,
-1000.00,1931076,101.998508,101.998537,0.030,0.290,C6 N O         ,6,0,1,1,0,
-1000.00,1902786,107.993901,107.993846,-0.055,-0.508,C H2 N O5      ,1,2,1,5,0,
-1000.00,2223712,113.006706,113.006660,-0.047,-0.415,C5 H5 O S      ,5,5,0,1,1,
583.83,1923046,113.976644,113.976756,0.112,0.986,C2 N3 O S      ,2,0,3,1,1,
478.64,2150784,117.009330,117.009436,0.106,0.907,C6 H N2 O      ,6,1,2,1,0,
574.50,2013023,123.004853,123.004745,-0.109,-0.882,C H3 N2 O5     ,1,3,2,5,0,
571.63,1960923,126.031023,126.030900,-0.123,-0.979,C4 H4 N3 O2    ,4,4,3,2,0,
-1000.00,1937460,128.010067,128.010165,0.097,0.760,C3 H2 N3 O3    ,3,2,3,3,0,
-1000.00,2454642,130.004801,130.004685,-0.116,-0.890,C6 N3 O        ,6,0,3,1,0,
541.68,1960089,132.977906,132.977861,-0.044,-0.333,C3 H O6        ,3,1,0,6,0,
548.99,2149168,136.051678,136.051635,-0.043,-0.313,C6 H6 N3 O     ,6,6,3,1,0,
419.14,1931354,137.976672,137.976756,0.085,0.615,C4 N3 O S      ,4,0,3,1,1,
-1000.00,2282924,139.003623,139.003682,0.059,0.427,C6 H3 O4       ,6,3,0,4,0,
298.40,3975602,139.040039,139.040068,0.028,0.204,C7 H7 O3       ,7,7,0,3,0,
-1000.00,2122047,145.029500,145.029503,0.003,0.020,C9 H5 O2       ,9,5,0,2,0,
617.10,1931344,148.018569,148.018621,0.053,0.355,C3 H6 N3 O2 S  ,3,6,3,2,1,
-1000.00,1994861,151.040116,151.040068,-0.048,-0.319,C8 H7 O3       ,8,7,0,3,0,
376.69,2848873,154.998576,154.998597,0.021,0.133,C6 H3 O5       ,6,3,0,5,0,
-1000.00,2043375,156.004932,156.005079,0.147,0.945,C4 H2 N3 O4    ,4,2,3,4,0,
398.86,2985874,157.050594,157.050632,0.039,0.246,C7 H9 O4       ,7,9,0,4,0,
-1000.00,2847293,158.082246,158.082267,0.020,0.129,C7 H12 N O3    ,7,12,1,3,0,
-1000.00,3324897,159.066265,159.066282,0.017,0.109,C7 H11 O4      ,7,11,0,4,0,
210.45,4497292,160.040379,160.040402,0.023,0.143,C9 H6 N O2     ,9,6,1,2,0,
-1000.00,2058363,161.965605,161.965523,-0.082,-0.504,C7 N O2 S      ,7,0,1,2,1,
306.53,4903160,163.040046,163.040068,0.022,0.136,C9 H7 O3       ,9,7,0,3,0,
770.44,1992957,163.051480,163.051301,-0.179,-1.099,C8 H7 N2 O2    ,8,7,2,2,0,
530.82,2116316,164.035299,164.035317,0.018,0.108,C8 H6 N O3     ,8,6,1,3,0,
488.37,2103022,164.071855,164.071702,-0.153,-0.931,C9 H10 N O2    ,9,10,1,2,0,
-1000.00,2029745,164.979005,164.978924,-0.081,-0.493,C2 H N2 O7     ,2,1,2,7,0,
5.34,47133380,165.019307,165.019332,0.025,0.154,C8 H5 O4       ,8,5,0,4,0,
-1000.00,6109911,165.055677,165.055718,0.041,0.247,C9 H9 O3       ,9,9,0,3,0,
-1000.00,2247658,165.092128,165.092103,-0.025,-0.149,C10 H13 O2     ,10,13,0,2,0,
431.69,2408175,165.103230,165.103337,0.107,0.647,C9 H13 N2 O    ,9,13,2,1,0,
-1000.00,2079484,165.128528,165.128489,-0.039,-0.238,C11 H17 O      ,11,17,0,1,0,
533.83,1940927,166.014579,166.014581,0.002,0.011,C7 H4 N O4     ,7,4,1,4,0,
-1000.00,1987272,167.019706,167.019726,0.020,0.120,C4 H7 O7       ,4,7,0,7,0,
-1000.00,2622673,167.034959,167.034982,0.023,0.139,C8 H7 O4       ,8,7,0,4,0,
-1000.00,2964452,167.071379,167.071368,-0.012,-0.070,C9 H11 O3      ,9,11,0,3,0,
574.83,1967328,168.030208,168.030231,0.023,0.139,C7 H6 N O4     ,7,6,1,4,0,
428.37,2106582,168.959957,168.960103,0.146,0.866,C6 H O4 S      ,6,1,0,4,1,
-1000.00,2668532,169.014197,169.014247,0.049,0.293,C7 H5 O5       ,7,5,0,5,0,
-1000.00,3828488,169.050604,169.050632,0.028,0.168,C8 H9 O4       ,8,9,0,4,0,
-1000.00,2022467,169.159750,169.159789,0.039,0.230,C11 H21 O      ,11,21,0,1,0,
377.48,2156803,169.970737,169.970608,-0.129,-0.757,C9 N O S       ,9,0,1,1,1,
-1000.00,2679350,170.975747,170.975753,0.006,0.036,C6 H3 O4 S     ,6,3,0,4,1,
433.22,2117698,170.996913,170.996883,-0.030,-0.177,C3 H7 O6 S     ,3,7,0,6,1,
-1000.00,1951829,171.029811,171.029897,0.086,0.505,C7 H7 O5       ,7,7,0,5,0,
184.20,6334313,171.066268,171.066282,0.014,0.085,C8 H11 O4      ,8,11,0,4,0,
406.53,1982895,172.966234,172.966251,0.018,0.102,C4 H N2 O4 S   ,4,1,2,4,1,
524.61,1999804,172.988003,172.988032,0.029,0.170,C9 H O4        ,9,1,0,4,0,
-1000.00,14590942,173.045529,173.045547,0.017,0.101,C7 H9 O5       ,7,9,0,5,0,
46.40,12334067,173.081911,173.081932,0.021,0.122,C8 H13 O4      ,8,13,0,4,0,
-1000.00,2577672,173.118310,173.118318,0.008,0.045,C9 H17 O3      ,9,17,0,3,0,
