mSigma,Observed Intens,Observed m/z,calc. m/z,err mDa,err ppm,sum formula,C,H,N,O,S,
318.71,4659240,178.050962,178.050967,0.004,0.024,C9 H8 N O3     ,9,8,1,3,0,
19.71,16034478,179.034963,179.034982,0.019,0.107,C9 H7 O4       ,9,7,0,4,0,
562.82,3956918,179.046206,179.046216,0.010,0.053,C8 H7 N2 O3    ,8,7,2,3,0,
-1000.00,3517638,179.071369,179.071368,-0.001,-0.006,C10 H11 O3     ,10,11,0,3,0,
-1000.00,2747205,180.030192,180.030231,0.040,0.219,C8 H6 N O4     ,8,6,1,4,0,
194.64,5278045,180.066616,180.066617,0.001,0.003,C9 H10 N O3    ,9,10,1,3,0,
7.15,38717404,181.014233,181.014247,0.014,0.076,C8 H5 O5       ,8,5,0,5,0,
-1000.00,8266741,181.050620,181.050632,0.012,0.067,C9 H9 O4       ,9,9,0,4,0,
615.64,2652412,181.061772,181.061866,0.094,0.517,C8 H9 N2 O3    ,8,9,2,3,0,
-1000.00,6222862,181.087014,181.087018,0.004,0.021,C10 H13 O3     ,10,13,0,3,0,
-1000.00,2111231,182.003033,182.002971,-0.062,-0.342,C6 H4 N3 O2 S  ,6,4,3,2,1,
385.69,2873475,182.009476,182.009496,0.020,0.108,C7 H4 N O5     ,7,4,1,5,0,
-1000.00,5865796,183.029874,183.029897,0.022,0.123,C8 H7 O5       ,8,7,0,5,0,
-1000.00,7595357,183.066278,183.066282,0.005,0.025,C9 H11 O4      ,9,11,0,4,0,
-1000.00,2639478,183.102687,183.102668,-0.020,-0.107,C10 H15 O3     ,10,15,0,3,0,
215.34,5413909,184.061523,184.061531,0.008,0.043,C8 H10 N O4    ,8,10,1,4,0,
-1000.00,2029512,184.134367,184.134302,-0.064,-0.348,C10 H18 N O2   ,10,18,1,2,0,
-1000.00,12280523,185.045524,185.045547,0.023,0.125,C8 H9 O5       ,8,9,0,5,0,
128.67,6614758,185.081906,185.081932,0.026,0.141,C9 H13 O4      ,9,13,0,4,0,
695.68,2016237,185.093138,185.093166,0.028,0.152,C8 H13 N2 O3   ,8,13,2,3,0,
-1000.00,4598527,185.118297,185.118318,0.021,0.115,C10 H17 O3     ,10,17,0,3,0,
-1000.00,2137297,185.950272,185.950267,-0.005,-0.029,C5 N O5 S      ,5,0,1,5,1,
-1000.00,2925996,186.077191,186.077181,-0.009,-0.051,C8 H12 N O4    ,8,12,1,4,0,
-1000.00,2056535,187.024789,187.024812,0.022,0.120,C7 H7 O6       ,7,7,0,6,0,
-1000.00,2732642,187.040070,187.040068,-0.002,-0.011,C11 H7 O3      ,11,7,0,3,0,
25.69,18831474,187.061182,187.061197,0.015,0.078,C8 H11 O5      ,8,11,0,5,0,
14.19,66271372,187.097563,187.097583,0.019,0.103,C9 H15 O4      ,9,15,0,4,0,
144.66,8902804,187.108801,187.108816,0.015,0.080,C8 H15 N2 O3   ,8,15,2,3,0,
59.92,18708646,187.133952,187.133968,0.016,0.083,C10 H19 O3     ,10,19,0,3,0,
29.00,20880182,188.035301,188.035317,0.016,0.083,C10 H6 N O3    ,10,6,1,3,0,
-1000.00,3756358,188.056468,188.056446,-0.022,-0.118,C7 H10 N O5    ,7,10,1,5,0,
311.58,2898785,188.092856,188.092832,-0.025,-0.133,C8 H14 N O4    ,8,14,1,4,0,
190.59,6297098,189.019311,189.019332,0.021,0.113,C10 H5 O4      ,10,5,0,4,0,
-1000.00,3098137,189.040446,189.040462,0.016,0.085,C7 H9 O6       ,7,9,0,6,0,
-1000.00,2767909,189.055683,189.055718,0.035,0.185,C11 H9 O3      ,11,9,0,3,0,
-1000.00,14665268,189.076840,189.076847,0.007,0.035,C8 H13 O5      ,8,13,0,5,0,
-1000.00,2511951,189.113190,189.113233,0.043,0.228,C9 H17 O4      ,9,17,0,4,0,
531.73,2179042,191.028473,191.028458,-0.015,-0.080,C9 H7 N2 O S   ,9,7,2,1,1,
38.42,11932647,191.034961,191.034982,0.022,0.114,C10 H7 O4      ,10,7,0,4,0,
-1000.00,4998658,191.071329,191.071368,0.039,0.204,C11 H11 O3     ,11,11,0,3,0,
33.55,13496769,193.014236,193.014247,0.011,0.058,C9 H5 O5       ,9,5,0,5,0,
-1000.00,11733469,193.050604,193.050632,0.028,0.147,C10 H9 O4      ,10,9,0,4,0,
597.21,3437542,193.061817,193.061866,0.049,0.254,C9 H9 N2 O3    ,9,9,2,3,0,
-1000.00,5907961,193.086995,193.087018,0.023,0.119,C11 H13 O3     ,11,13,0,3,0,
-1000.00,2168352,193.138178,193.138008,-0.170,-0.880,C8 H21 N2 O S  ,8,21,2,1,1,
-1000.00,16418007,194.045860,194.045881,0.022,0.111,C9 H8 N O4     ,9,8,1,4,0,
-1000.00,2212595,194.082201,194.082267,0.066,0.339,C10 H12 N O3   ,10,12,1,3,0,
19.09,45314000,195.029879,195.029897,0.018,0.094,C9 H7 O5       ,9,7,0,5,0,
658.78,2097623,195.041156,195.041130,-0.025,-0.130,C8 H7 N2 O4    ,8,7,2,4,0,
-1000.00,9971691,195.066260,195.066282,0.023,0.117,C10 H11 O4     ,10,11,0,4,0,
267.19,4429831,195.102645,195.102668,0.023,0.116,C11 H15 O3     ,11,15,0,3,0,
-1000.00,4072483,195.139013,195.139053,0.041,0.208,C12 H19 O2     ,12,19,0,2,0,
-1000.00,16384724,196.025125,196.025146,0.021,0.106,C8 H6 N O5     ,8,6,1,5,0,
-1000.00,4489969,196.061503,196.061531,0.029,0.146,C9 H10 N O4    ,9,10,1,4,0,
505.47,2534088,196.991449,196.991403,-0.045,-0.231,C8 H5 O4 S     ,8,5,0,4,1,
-1000.00,11529686,197.009144,197.009161,0.018,0.090,C8 H5 O6       ,8,5,0,6,0,
592.29,2510303,197.020377,197.020395,0.018,0.090,C7 H5 N2 O5    ,7,5,2,5,0,
-1000.00,15312370,197.045528,197.045547,0.019,0.095,C9 H9 O5       ,9,9,0,5,0,
655.32,3026939,197.056791,197.056780,-0.011,-0.056,C8 H9 N2 O4    ,8,9,2,4,0,
-1000.00,11267599,197.081904,197.081932,0.028,0.143,C10 H13 O4     ,10,13,0,4,0,
511.43,2757163,197.118295,197.118318,0.023,0.116,C11 H17 O3     ,11,17,0,3,0,
-1000.00,2144328,197.154666,197.154703,0.038,0.192,C12 H21 O2     ,12,21,0,2,0,
185.44,5306597,198.004386,198.004410,0.024,0.122,C7 H4 N O6     ,7,4,1,6,0,
503.38,2061570,198.040771,198.040796,0.025,0.128,C8 H8 N O5     ,8,8,1,5,0,
-1000.00,6300657,198.988406,198.988426,0.020,0.102,C7 H3 O7       ,7,3,0,7,0,
-1000.00,6231054,199.024797,199.024812,0.014,0.072,C8 H7 O6       ,8,7,0,6,0,
19.98,19659818,199.061171,199.061197,0.026,0.129,C9 H11 O5      ,9,11,0,5,0,
-1000.00,10329159,199.097547,199.097583,0.036,0.178,C10 H15 O4     ,10,15,0,4,0,
117.18,6502500,199.133945,199.133968,0.023,0.113,C11 H19 O3     ,11,19,0,3,0,
512.55,2711875,200.056425,200.056446,0.021,0.105,C8 H10 N O5    ,8,10,1,5,0,
-1000.00,6487905,200.092846,200.092832,-0.014,-0.070,C9 H14 N O4    ,9,14,1,4,0,
-1000.00,3430444,200.986271,200.986318,0.047,0.234,C7 H5 O5 S     ,7,5,0,5,1,
245.22,10279512,201.040450,201.040462,0.011,0.056,C8 H9 O6       ,8,9,0,6,0,
-1000.00,3498084,201.055684,201.055718,0.034,0.168,C12 H9 O3      ,12,9,0,3,0,
6.07,28484212,201.076831,201.076847,0.016,0.081,C9 H13 O5      ,9,13,0,5,0,
8.23,37528212,201.113218,201.113233,0.015,0.073,C10 H17 O4     ,10,17,0,4,0,
255.32,8960667,201.124438,201.124466,0.028,0.140,C9 H17 N2 O3   ,9,17,2,3,0,
65.61,11317935,201.149613,201.149618,0.005,0.025,C11 H21 O3     ,11,21,0,3,0,
-1000.00,4493178,202.035681,202.035711,0.030,0.149,C7 H8 N O6     ,7,8,1,6,0,
569.35,7471494,202.050942,202.050967,0.025,0.124,C11 H8 N O3    ,11,8,1,3,0,
75.24,22508950,202.072079,202.072096,0.018,0.087,C8 H12 N O5    ,8,12,1,5,0,
-1000.00,7363746,203.034950,203.034982,0.032,0.159,C11 H7 O4      ,11,7,0,4,0,
579.63,4401323,203.046155,203.046216,0.060,0.296,C10 H7 N2 O3   ,10,7,2,3,0,
524.73,2070702,203.049679,203.049587,-0.092,-0.452,C7 H11 N2 O3 S ,7,11,2,3,1,
8.29,26491060,203.056098,203.056112,0.014,0.067,C8 H11 O6      ,8,11,0,6,0,
-1000.00,2843840,203.071360,203.071368,0.008,0.038,C12 H11 O3     ,12,11,0,3,0,
14.44,30763216,203.092477,203.092497,0.021,0.102,C9 H15 O5      ,9,15,0,5,0,
-1000.00,4251887,203.128904,203.128883,-0.021,-0.104,C10 H19 O4     ,10,19,0,4,0,
6.52,41003980,204.030210,204.030231,0.021,0.104,C10 H6 N O4    ,10,6,1,4,0,
-1000.00,14491375,205.014231,205.014247,0.016,0.077,C10 H5 O5      ,10,5,0,5,0,
676.94,2980601,205.025469,205.025480,0.011,0.053,C9 H5 N2 O4    ,9,5,2,4,0,
-1000.00,10653453,205.050606,205.050632,0.026,0.127,C11 H9 O4      ,11,9,0,4,0,
580.71,2619166,205.071764,205.071762,-0.002,-0.011,C8 H13 O6      ,8,13,0,6,0,
246.50,3766571,205.087000,205.087018,0.018,0.089,C12 H13 O3     ,12,13,0,3,0,
-1000.00,2066463,206.009483,206.009496,0.013,0.063,C9 H4 N O5     ,9,4,1,5,0,
-1000.00,5713470,206.045890,206.045881,-0.008,-0.041,C10 H8 N O4    ,10,8,1,4,0,
-1000.00,2689627,206.082256,206.082267,0.010,0.051,C11 H12 N O3   ,11,12,1,3,0,
464.44,2110070,206.114632,206.114630,-0.003,-0.013,C7 H16 N3 O4   ,7,16,3,4,0,
-1000.00,2057623,206.155052,206.155038,-0.014,-0.067,C13 H20 N O    ,13,20,1,1,0,
-1000.00,4789578,206.993505,206.993511,0.006,0.028,C9 H3 O6       ,9,3,0,6,0,
12.36,35665256,207.029871,207.029897,0.026,0.124,C10 H7 O5      ,10,7,0,5,0,
64.08,9332102,207.066273,207.066282,0.009,0.046,C11 H11 O4     ,11,11,0,4,0,
619.67,3153295,207.077478,207.077516,0.037,0.180,C10 H11 N2 O3  ,10,11,2,3,0,
-1000.00,3239332,207.102613,207.102668,0.055,0.265,C12 H15 O3     ,12,15,0,3,0,
-1000.00,4930718,208.025149,208.025146,-0.003,-0.014,C9 H6 N O5     ,9,6,1,5,0,
106.12,10449084,208.061526,208.061531,0.006,0.027,C10 H10 N O4   ,10,10,1,4,0,
-1000.00,2104225,208.954821,208.955018,0.197,0.942,C8 H O5 S      ,8,1,0,5,1,
7.21,34601932,209.009154,209.009161,0.007,0.034,C9 H5 O6       ,9,5,0,6,0,
16.47,28117996,209.045525,209.045547,0.022,0.107,C10 H9 O5      ,10,9,0,5,0,
663.82,3133429,209.056771,209.056780,0.010,0.047,C9 H9 N2 O4    ,9,9,2,4,0,
-1000.00,10759178,209.081916,209.081932,0.017,0.079,C11 H13 O4     ,11,13,0,4,0,
580.70,4823060,209.093160,209.093166,0.006,0.027,C10 H13 N2 O3  ,10,13,2,3,0,
-1000.00,2988073,209.118316,209.118318,0.002,0.007,C12 H17 O3     ,12,17,0,3,0,
-1000.00,13722695,209.154679,209.154703,0.024,0.115,C13 H21 O2     ,13,21,0,2,0,
-1000.00,18054952,210.040787,210.040796,0.009,0.045,C9 H8 N O5     ,9,8,1,5,0,
136.49,8249158,210.077166,210.077181,0.016,0.074,C10 H12 N O4   ,10,12,1,4,0,
13.51,31400540,211.024803,211.024812,0.009,0.042,C9 H7 O6       ,9,7,0,6,0,
7.70,25514620,211.061189,211.061197,0.008,0.040,C10 H11 O5     ,10,11,0,5,0,
-1000.00,11795097,211.097569,211.097583,0.013,0.064,C11 H15 O4     ,11,15,0,4,0,
594.69,3145379,211.108816,211.108816,-0.000,-0.000,C10 H15 N2 O3  ,10,15,2,3,0,
-1000.00,6037176,211.133983,211.133968,-0.015,-0.072,C12 H19 O3     ,12,19,0,3,0,
-1000.00,5009110,211.170323,211.170354,0.030,0.144,C13 H23 O2     ,13,23,0,2,0,
78.41,14368157,212.020047,212.020060,0.014,0.066,C8 H6 N O6     ,8,6,1,6,0,
473.00,2470826,212.035297,212.035317,0.020,0.095,C12 H6 N O3    ,12,6,1,3,0,
233.07,4647356,212.056436,212.056446,0.010,0.046,C9 H10 N O5    ,9,10,1,5,0,
251.47,3629255,212.986322,212.986318,-0.004,-0.020,C8 H5 O5 S     ,8,5,0,5,1,
-1000.00,4227798,213.004030,213.004076,0.046,0.217,C8 H5 O7       ,8,5,0,7,0,
-1000.00,18352372,213.040453,213.040462,0.008,0.038,C9 H9 O6       ,9,9,0,6,0,
-1000.00,2618113,213.055671,213.055718,0.046,0.218,C13 H9 O3      ,13,9,0,3,0,
17.04,26155282,213.076839,213.076847,0.008,0.037,C10 H13 O5     ,10,13,0,5,0,
632.00,5098781,213.088092,213.088080,-0.011,-0.053,C9 H13 N2 O4   ,9,13,2,4,0,
-1000.00,8843569,213.113210,213.113233,0.023,0.107,C11 H17 O4     ,11,17,0,4,0,
54.09,16914768,213.149615,213.149618,0.003,0.015,C12 H21 O3     ,12,21,0,3,0,
772.49,2295877,214.050997,214.050967,-0.031,-0.144,C12 H8 N O3    ,12,8,1,3,0,
-1000.00,4363351,214.072102,214.072096,-0.006,-0.029,C9 H12 N O5    ,9,12,1,5,0,
-1000.00,2681462,214.108460,214.108482,0.021,0.098,C10 H16 N O4   ,10,16,1,4,0,
220.89,4236103,214.965588,214.965583,-0.005,-0.024,C7 H3 O6 S     ,7,3,0,6,1,
351.93,2189670,215.001941,215.001968,0.027,0.125,C8 H7 O5 S     ,8,7,0,5,1,
488.99,2411887,215.013143,215.013201,0.058,0.272,C7 H7 N2 O4 S  ,7,7,2,4,1,
-1000.00,2820981,215.019779,215.019726,-0.053,-0.245,C8 H7 O7       ,8,7,0,7,0,
543.37,3932033,215.034944,215.034982,0.039,0.180,C12 H7 O4      ,12,7,0,4,0,
48.70,29093780,215.056107,215.056112,0.005,0.022,C9 H11 O6      ,9,11,0,6,0,
6.09,22917042,215.092491,215.092497,0.006,0.028,C10 H15 O5     ,10,15,0,5,0,
689.02,2675643,215.103698,215.103731,0.033,0.153,C9 H15 N2 O4   ,9,15,2,4,0,
7.66,42913744,215.128880,215.128883,0.003,0.014,C11 H19 O4     ,11,19,0,4,0,
4.96,39407600,215.165267,215.165268,0.002,0.008,C12 H23 O3     ,12,23,0,3,0,
475.71,4129480,216.030195,216.030231,0.036,0.166,C11 H6 N O4    ,11,6,1,4,0,
500.72,5145306,216.051356,216.051361,0.004,0.020,C8 H10 N O6    ,8,10,1,6,0,
357.45,3795193,216.087719,216.087746,0.028,0.128,C9 H14 N O5    ,9,14,1,5,0,
-1000.00,3527175,217.014211,217.014247,0.036,0.165,C11 H5 O5      ,11,5,0,5,0,
-1000.00,6442521,217.035367,217.035376,0.009,0.040,C8 H9 O7       ,8,9,0,7,0,
408.09,5418534,217.050637,217.050632,-0.005,-0.021,C12 H9 O4      ,12,9,0,4,0,
614.54,2421807,217.061761,217.061866,0.105,0.482,C11 H9 N2 O3   ,11,9,2,3,0,
10.25,22771256,217.071761,217.071762,0.001,0.005,C9 H13 O6      ,9,13,0,6,0,
564.13,2185793,217.083026,217.082995,-0.031,-0.143,C8 H13 N2 O5   ,8,13,2,5,0,
-1000.00,3082309,217.087024,217.087018,-0.006,-0.029,C13 H13 O3     ,13,13,0,3,0,
17.62,55449176,217.108150,217.108147,-0.002,-0.011,C10 H17 O5     ,10,17,0,5,0,
-1000.00,15009376,217.119377,217.119381,0.003,0.015,C9 H17 N2 O4   ,9,17,2,4,0,
-1000.00,2409077,217.144494,217.144533,0.039,0.178,C11 H21 O4     ,11,21,0,4,0,
11.78,28391790,218.045887,218.045881,-0.005,-0.025,C11 H8 N O4    ,11,8,1,4,0,
608.15,2472065,218.066955,218.067011,0.056,0.255,C8 H12 N O6    ,8,12,1,6,0,
-1000.00,16837806,219.029884,219.029897,0.013,0.060,C11 H7 O5      ,11,7,0,5,0,
-1000.00,4410561,219.051025,219.051026,0.001,0.006,C8 H11 O7      ,8,11,0,7,0,
-1000.00,8029390,219.066296,219.066282,-0.014,-0.062,C12 H11 O4     ,12,11,0,4,0,
702.03,4697312,219.087403,219.087412,0.009,0.040,C9 H15 O6      ,9,15,0,6,0,
-1000.00,3894509,219.102663,219.102668,0.005,0.024,C13 H15 O3     ,13,15,0,3,0,
-1000.00,3593209,220.025153,220.025146,-0.007,-0.031,C10 H6 N O5    ,10,6,1,5,0,
-1000.00,3917848,220.061564,220.061531,-0.032,-0.147,C11 H10 N O4   ,11,10,1,4,0,
81.21,21062458,221.009165,221.009161,-0.004,-0.016,C10 H5 O6      ,10,5,0,6,0,
5.94,28623706,221.045545,221.045547,0.002,0.010,C11 H9 O5      ,11,9,0,5,0,
437.30,2079324,221.048909,221.048918,0.009,0.042,C8 H13 O5 S    ,8,13,0,5,1,
-1000.00,13915000,221.081934,221.081932,-0.002,-0.008,C12 H13 O4     ,12,13,0,4,0,
89.12,15790978,221.093172,221.093166,-0.006,-0.026,C11 H13 N2 O3  ,11,13,2,3,0,
-1000.00,4392855,221.118311,221.118318,0.007,0.033,C13 H17 O3     ,13,17,0,3,0,
-1000.00,9245622,221.154722,221.154703,-0.019,-0.085,C14 H21 O2     ,14,21,0,2,0,
-1000.00,8109732,222.040816,222.040796,-0.020,-0.092,C10 H8 N O5    ,10,8,1,5,0,
-1000.00,4216515,222.077213,222.077181,-0.031,-0.140,C11 H12 N O4   ,11,12,1,4,0,
448.96,2590663,222.988457,222.988426,-0.031,-0.138,C9 H3 O7       ,9,3,0,7,0,
7.18,61696484,223.024814,223.024812,-0.003,-0.013,C10 H7 O6      ,10,7,0,6,0,
677.43,2161647,223.036063,223.036045,-0.018,-0.082,C9 H7 N2 O5    ,9,7,2,5,0,
6.74,23849476,223.061211,223.061197,-0.014,-0.061,C11 H11 O5     ,11,11,0,5,0,
-1000.00,9933347,223.097595,223.097583,-0.012,-0.055,C12 H15 O4     ,12,15,0,4,0,
604.18,4574765,223.108811,223.108816,0.005,0.024,C11 H15 N2 O3  ,11,15,2,3,0,
317.03,4280898,223.133980,223.133968,-0.012,-0.054,C13 H19 O3     ,13,19,0,3,0,
-1000.00,7099696,224.020058,224.020060,0.003,0.013,C9 H6 N O6     ,9,6,1,6,0,
-1000.00,16747855,224.056443,224.056446,0.003,0.014,C10 H10 N O5   ,10,10,1,5,0,
12.04,28029040,225.004089,225.004076,-0.013,-0.056,C9 H5 O7       ,9,5,0,7,0,
8.32,27054224,225.040465,225.040462,-0.003,-0.014,C10 H9 O6      ,10,9,0,6,0,
10.34,25645230,225.076850,225.076847,-0.003,-0.015,C11 H13 O5     ,11,13,0,5,0,
81.27,14176461,225.113244,225.113233,-0.011,-0.050,C12 H17 O4     ,12,17,0,4,0,
76.50,9414892,225.149643,225.149618,-0.024,-0.109,C13 H21 O3     ,13,21,0,3,0,
-1000.00,9019658,225.186002,225.186004,0.002,0.008,C14 H25 O2     ,14,25,0,2,0,
-1000.00,3499962,225.999323,225.999325,0.002,0.009,C8 H4 N O7     ,8,4,1,7,0,
115.41,7300057,226.035728,226.035711,-0.018,-0.078,C9 H8 N O6     ,9,8,1,6,0,
-1000.00,7861240,226.072101,226.072096,-0.005,-0.023,C10 H12 N O5   ,10,12,1,5,0,
-1000.00,9582360,227.019730,227.019726,-0.004,-0.018,C9 H7 O7       ,9,7,0,7,0,
14.52,32413494,227.056111,227.056112,0.001,0.005,C10 H11 O6     ,10,11,0,6,0,
675.39,3557184,227.067360,227.067345,-0.015,-0.067,C9 H11 N2 O5   ,9,11,2,5,0,
6.18,25900886,227.092506,227.092497,-0.009,-0.041,C11 H15 O5     ,11,15,0,5,0,
590.37,9482079,227.103736,227.103731,-0.005,-0.023,C10 H15 N2 O4  ,10,15,2,4,0,
139.93,8357748,227.128876,227.128883,0.007,0.031,C12 H19 O4     ,12,19,0,4,0,
505.11,9039741,227.140116,227.140116,0.000,0.002,C11 H19 N2 O3  ,11,19,2,3,0,
-1000.00,8279955,227.165283,227.165268,-0.015,-0.067,C13 H23 O3     ,13,23,0,3,0,
-1000.00,3384241,227.201661,227.201654,-0.007,-0.033,C14 H27 O2     ,14,27,0,2,0,
418.13,4638334,228.051377,228.051361,-0.016,-0.072,C9 H10 N O6    ,9,10,1,6,0,
-1000.00,2850973,228.087766,228.087746,-0.020,-0.086,C10 H14 N O5   ,10,14,1,5,0,
266.38,3279757,228.981276,228.981233,-0.043,-0.189,C8 H5 O6 S     ,8,5,0,6,1,
175.75,5958042,228.996515,228.996489,-0.026,-0.113,C12 H5 O3 S    ,12,5,0,3,1,
165.40,6014367,229.002378,229.002362,-0.016,-0.071,C5 H9 O8 S     ,5,9,0,8,1,
105.12,17522106,229.035376,229.035376,-0.000,-0.000,C9 H9 O7       ,9,9,0,7,0,
678.44,4329928,229.050618,229.050632,0.014,0.062,C13 H9 O4      ,13,9,0,4,0,
56.48,41393624,229.071768,229.071762,-0.006,-0.026,C10 H13 O6     ,10,13,0,6,0,
667.21,2890211,229.082982,229.082995,0.013,0.058,C9 H13 N2 O5   ,9,13,2,5,0,
9.94,25730552,229.108146,229.108147,0.001,0.004,C11 H17 O5     ,11,17,0,5,0,
673.84,3301889,229.119378,229.119381,0.003,0.013,C10 H17 N2 O4  ,10,17,2,4,0,
6.71,19492374,229.144533,229.144533,-0.000,-0.002,C12 H21 O4     ,12,21,0,4,0,
485.62,3538464,229.155759,229.155766,0.007,0.032,C11 H21 N2 O3  ,11,21,2,3,0,
9.77,22851124,229.180916,229.180918,0.002,0.008,C13 H25 O3     ,13,25,0,3,0,
-1000.00,2110128,229.936018,229.936073,0.056,0.242,C N3 O9 S      ,1,0,3,9,1,
511.03,8388876,230.045901,230.045881,-0.020,-0.087,C12 H8 N O4    ,12,8,1,4,0,
484.75,5796126,230.067012,230.067011,-0.001,-0.004,C9 H12 N O6    ,9,12,1,6,0,
373.53,3475260,230.103401,230.103396,-0.005,-0.023,C10 H16 N O5   ,10,16,1,5,0,
-1000.00,2466858,230.996871,230.996883,0.012,0.053,C8 H7 O6 S     ,8,7,0,6,1,
