mSigma,Observed Intens,Observed m/z,calc. m/z,err mDa,err ppm,sum formula,C,H,N,O,S,
-1000.00,1951091,104.017617,104.017559,-0.058,-0.558,C3 H6 N O S    ,3,6,1,1,1,
661.19,2040494,111.986354,111.986258,-0.095,-0.850,C4 H2 N O S    ,4,2,1,1,1,
-1000.00,2278956,113.024394,113.024418,0.024,0.209,C5 H5 O3       ,5,5,0,3,0,
-1000.00,2100873,118.998609,118.998597,-0.012,-0.101,C3 H3 O5       ,3,3,0,5,0,
571.92,1911136,120.020376,120.020335,-0.041,-0.342,C5 H2 N3 O     ,5,2,3,1,0,
-1000.00,1987261,121.065850,121.065888,0.039,0.320,C8 H9 O        ,8,9,0,1,0,
-1000.00,2131278,122.990920,122.991009,0.089,0.726,C6 H3 O S      ,6,3,0,1,1,
609.79,2557133,123.029916,123.029897,-0.019,-0.154,C3 H7 O5       ,3,7,0,5,0,
478.17,2122733,128.965245,128.965189,-0.056,-0.436,C4 H O3 S      ,4,1,0,3,1,
-1000.00,1969272,135.081590,135.081539,-0.052,-0.383,C9 H11 O       ,9,11,0,1,0,
566.47,1965389,136.972812,136.972776,-0.036,-0.264,C2 H O7        ,2,1,0,7,0,
-1000.00,2143957,137.035659,137.035651,-0.008,-0.057,C6 H5 N2 O2    ,6,5,2,2,0,
-1000.00,1892578,138.092337,138.092438,0.101,0.730,C8 H12 N O     ,8,12,1,1,0,
-1000.00,2926063,139.040056,139.040068,0.012,0.087,C7 H7 O3       ,7,7,0,3,0,
425.07,1967058,143.028464,143.028458,-0.007,-0.048,C5 H7 N2 O S   ,5,7,2,1,1,
-1000.00,1903798,144.045495,144.045487,-0.008,-0.056,C9 H6 N O      ,9,6,1,1,0,
577.62,2160443,146.118522,146.118652,0.131,0.894,C7 H16 N O2    ,7,16,1,2,0,
479.60,1907577,149.006671,149.006660,-0.011,-0.077,C8 H5 O S      ,8,5,0,1,1,
-1000.00,1992958,150.999643,150.999659,0.016,0.108,C2 H3 N2 O6    ,2,3,2,6,0,
-1000.00,2063187,153.055769,153.055718,-0.052,-0.337,C8 H9 O3       ,8,9,0,3,0,
-1000.00,2181971,155.071384,155.071368,-0.016,-0.103,C8 H11 O3      ,8,11,0,3,0,
-1000.00,2658683,157.050637,157.050632,-0.005,-0.029,C7 H9 O4       ,7,9,0,4,0,
618.09,2495285,158.082210,158.082267,0.057,0.359,C7 H12 N O3    ,7,12,1,3,0,
-1000.00,3550183,159.066268,159.066282,0.015,0.091,C7 H11 O4      ,7,11,0,4,0,
-1000.00,2317985,160.040384,160.040402,0.018,0.113,C9 H6 N O2     ,9,6,1,2,0,
433.24,2070822,161.950316,161.950267,-0.049,-0.303,C3 N O5 S      ,3,0,1,5,1,
298.99,5079612,163.040055,163.040068,0.013,0.077,C9 H7 O3       ,9,7,0,3,0,
-1000.00,2424130,164.071644,164.071702,0.058,0.355,C9 H10 N O2    ,9,10,1,2,0,
10.21,37147176,165.019314,165.019332,0.018,0.111,C8 H5 O4       ,8,5,0,4,0,
324.10,3141692,165.055699,165.055718,0.019,0.114,C9 H9 O3       ,9,9,0,3,0,
-1000.00,1956418,165.066771,165.066951,0.180,1.089,C8 H9 N2 O2    ,8,9,2,2,0,
-1000.00,2386463,165.974296,165.974173,-0.123,-0.739,C N3 O7        ,1,0,3,7,0,
439.39,1978447,167.017241,167.017224,-0.017,-0.101,C8 H7 O2 S     ,8,7,0,2,1,
315.28,4723289,167.034970,167.034982,0.013,0.076,C8 H7 O4       ,8,7,0,4,0,
-1000.00,3910764,167.071362,167.071368,0.006,0.035,C9 H11 O3      ,9,11,0,3,0,
-1000.00,2512800,169.014189,169.014247,0.058,0.341,C7 H5 O5       ,7,5,0,5,0,
-1000.00,2137132,169.035522,169.035376,-0.146,-0.863,C4 H9 O7       ,4,9,0,7,0,
238.33,4497077,169.050630,169.050632,0.003,0.015,C8 H9 O4       ,8,9,0,4,0,
-1000.00,2895111,170.975724,170.975753,0.029,0.170,C6 H3 O4 S     ,6,3,0,4,1,
-1000.00,4275004,171.066271,171.066282,0.011,0.064,C8 H11 O4      ,8,11,0,4,0,
-1000.00,2664840,172.061501,172.061531,0.030,0.176,C7 H10 N O4    ,7,10,1,4,0,
102.21,11733975,173.045538,173.045547,0.009,0.050,C7 H9 O5       ,7,9,0,5,0,
58.98,16813038,173.081922,173.081932,0.011,0.063,C8 H13 O4      ,8,13,0,4,0,
-1000.00,4608516,173.118331,173.118318,-0.013,-0.073,C9 H17 O3      ,9,17,0,3,0,
-1000.00,1964953,173.154611,173.154703,0.092,0.532,C10 H21 O2     ,10,21,0,2,0,
544.74,11867712,174.056030,174.056052,0.022,0.124,C10 H8 N O2    ,10,8,1,2,0,
-1000.00,2028185,175.024770,175.024812,0.041,0.237,C6 H7 O6       ,6,7,0,6,0,
-1000.00,2674595,175.040078,175.040068,-0.011,-0.060,C10 H7 O3      ,10,7,0,3,0,
82.44,17148080,175.061190,175.061197,0.007,0.038,C7 H11 O5      ,7,11,0,5,0,
-1000.00,2201543,175.097564,175.097583,0.018,0.105,C8 H15 O4      ,8,15,0,4,0,
327.78,3641739,177.019297,177.019332,0.035,0.199,C9 H5 O4       ,9,5,0,4,0,
215.91,4280226,177.055702,177.055718,0.015,0.087,C10 H9 O3      ,10,9,0,3,0,
