mSigma,Observed Intens,Observed m/z,calc. m/z,err mDa,err ppm,sum formula,C,H,N,O,S,
-1000.00,1923859,103.087761,103.087687,-0.074,-0.722,C4 H11 N2 O    ,4,11,2,1,0,
-1000.00,2229691,103.992423,103.992406,-0.016,-0.155,C H2 N3 O S    ,1,2,3,1,1,
582.20,1899186,105.960471,105.960438,-0.034,-0.316,C N O3 S       ,1,0,1,3,1,
670.71,1962345,111.986275,111.986258,-0.017,-0.148,C4 H2 N O S    ,4,2,1,1,1,
-1000.00,1895468,116.107962,116.108088,0.125,1.081,C6 H14 N O     ,6,14,1,1,0,
538.94,2045982,118.998536,118.998597,0.061,0.513,C3 H3 O5       ,3,3,0,5,0,
-1000.00,2039385,131.035110,131.034982,-0.127,-0.971,C5 H7 O4       ,5,7,0,4,0,
395.28,2047825,131.987327,131.987321,-0.005,-0.042,C2 H2 N3 O2 S  ,2,2,3,2,1,
558.70,1908075,134.009416,134.009496,0.080,0.596,C3 H4 N O5     ,3,4,1,5,0,
575.48,2067820,134.028078,134.028123,0.045,0.336,C4 H8 N O2 S   ,4,8,1,2,1,
557.38,2119862,137.071929,137.072036,0.107,0.782,C7 H9 N2 O     ,7,9,2,1,0,
603.59,1925252,138.970567,138.970668,0.101,0.727,C2 H3 O5 S     ,2,3,0,5,1,
-1000.00,1965234,142.983481,142.983341,-0.140,-0.981,C H3 O8        ,1,3,0,8,0,
-1000.00,1983164,143.028399,143.028458,0.059,0.412,C5 H7 N2 O S   ,5,7,2,1,1,
-1000.00,2815493,144.971402,144.971337,-0.066,-0.453,C3 H N2 O3 S   ,3,1,2,3,1,
-1000.00,1963418,146.039244,146.039357,0.112,0.768,C4 H8 N3 O S   ,4,8,3,1,1,
428.21,2011676,148.080016,148.080159,0.143,0.966,C6 H14 N O S   ,6,14,1,1,1,
711.44,2185868,149.072045,149.072036,-0.009,-0.060,C8 H9 N2 O     ,8,9,2,1,0,
-1000.00,1990605,150.070546,150.070657,0.111,0.741,C4 H12 N3 O S  ,4,12,3,1,1,
-1000.00,1988293,152.979007,152.978924,-0.083,-0.540,C H N2 O7      ,1,1,2,7,0,
-1000.00,2283489,153.055662,153.055718,0.056,0.366,C8 H9 O3       ,8,9,0,3,0,
-1000.00,2108019,153.103287,153.103337,0.049,0.321,C8 H13 N2 O    ,8,13,2,1,0,
389.08,2713548,154.998574,154.998597,0.023,0.149,C6 H3 O5       ,6,3,0,5,0,
527.11,2135639,155.025176,155.025086,-0.090,-0.580,C9 H3 N2 O     ,9,3,2,1,0,
