mSigma,Observed Intens,Observed m/z,calc. m/z,err mDa,err ppm,sum formula,C,H,N,O,S,
-1000.00,1998659,100.076828,100.076788,-0.040,-0.400,C5 H10 N O     ,5,10,1,1,0,
-1000.00,1988083,103.018916,103.018938,0.022,0.214,C7 H3 O        ,7,3,0,1,0,
-1000.00,1996011,103.998956,103.998931,-0.025,-0.239,C2 H2 N O4     ,2,2,1,4,0,
513.47,2125543,109.999691,109.999600,-0.091,-0.830,C3 N3 O2       ,3,0,3,2,0,
550.61,2002441,110.993417,110.993511,0.095,0.854,C H3 O6        ,1,3,0,6,0,
578.24,1921339,115.051400,115.051301,-0.099,-0.859,C4 H7 N2 O2    ,4,7,2,2,0,
499.56,1954614,117.037918,117.037960,0.041,0.354,C5 H9 O S      ,5,9,0,1,1,
-1000.00,2193763,121.970567,121.970608,0.042,0.342,C5 N O S       ,5,0,1,1,1,
564.79,2162834,127.981287,127.981173,-0.114,-0.889,C4 H2 N O2 S   ,4,2,1,2,1,
-1000.00,1899953,132.993169,132.993117,-0.052,-0.388,C7 H O3        ,7,1,0,3,0,
-1000.00,1932793,133.955389,133.955352,-0.037,-0.273,C2 N O4 S      ,2,0,1,4,1,
-1000.00,2005652,135.004799,135.004745,-0.054,-0.400,C2 H3 N2 O5    ,2,3,2,5,0,
-1000.00,2007914,138.067286,138.067285,-0.000,-0.002,C6 H8 N3 O     ,6,8,3,1,0,
406.72,2073508,140.986217,140.986318,0.101,0.718,C2 H5 O5 S     ,2,5,0,5,1,
503.29,1925972,145.025539,145.025480,-0.058,-0.402,C4 H5 N2 O4    ,4,5,2,4,0,
-1000.00,2472137,151.040170,151.040068,-0.102,-0.678,C8 H7 O3       ,8,7,0,3,0,
-1000.00,1921220,152.014041,152.014187,0.146,0.962,C10 H2 N O     ,10,2,1,1,0,
-1000.00,2321175,152.071568,152.071702,0.134,0.879,C8 H10 N O2    ,8,10,1,2,0,
599.95,2015258,153.945149,153.945181,0.032,0.208,C N O6 S       ,1,0,1,6,1,
532.65,2280583,155.978678,155.978590,-0.088,-0.567,C H2 N O8      ,1,2,1,8,0,
-1000.00,1948005,159.081368,159.081539,0.171,1.073,C11 H11 O      ,11,11,0,1,0,
-1000.00,2206574,159.102641,159.102668,0.027,0.167,C8 H15 O3      ,8,15,0,3,0,
465.13,2559061,163.076504,163.076453,-0.051,-0.310,C10 H11 O2     ,10,11,0,2,0,
5.30,33649144,165.019396,165.019332,-0.064,-0.385,C8 H5 O4       ,8,5,0,4,0,
445.30,2094329,165.022533,165.022704,0.170,1.032,C5 H9 O4 S     ,5,9,0,4,1,
-1000.00,2279945,165.055752,165.055718,-0.035,-0.210,C9 H9 O3       ,9,9,0,3,0,
445.87,1980171,165.059145,165.059089,-0.056,-0.339,C6 H13 O3 S    ,6,13,0,3,1,
565.85,2904593,165.070335,165.070322,-0.012,-0.074,C5 H13 N2 O2 S ,5,13,2,2,1,
493.43,2372637,165.095425,165.095475,0.049,0.299,C7 H17 O2 S    ,7,17,0,2,1,
358.02,2278283,166.090703,166.090724,0.021,0.124,C6 H16 N O2 S  ,6,16,1,2,1,
534.23,3097597,167.071413,167.071368,-0.045,-0.269,C9 H11 O3      ,9,11,0,3,0,
399.56,2187081,167.960872,167.960832,-0.040,-0.239,C2 H2 N O6 S   ,2,2,1,6,1,
219.48,4366857,169.050689,169.050632,-0.057,-0.336,C8 H9 O4       ,8,9,0,4,0,
571.44,1952275,169.069374,169.069260,-0.114,-0.675,C9 H13 O S     ,9,13,0,1,1,
681.82,2237710,170.009540,170.009496,-0.044,-0.259,C6 H4 N O5     ,6,4,1,5,0,
-1000.00,8025653,171.012200,171.012139,-0.061,-0.357,C7 H7 O3 S     ,7,7,0,3,1,
273.46,5914707,171.066312,171.066282,-0.030,-0.175,C8 H11 O4      ,8,11,0,4,0,
450.87,2195594,172.080302,172.080159,-0.143,-0.831,C8 H14 N O S   ,8,14,1,1,1,
-1000.00,2038193,173.045600,173.045547,-0.053,-0.307,C7 H9 O5       ,7,9,0,5,0,
-1000.00,2409536,173.071886,173.072036,0.150,0.867,C10 H9 N2 O    ,10,9,2,1,0,
-1000.00,2137024,173.072147,173.072036,-0.111,-0.640,C10 H9 N2 O    ,10,9,2,1,0,
203.49,5762758,173.081997,173.081932,-0.064,-0.372,C8 H13 O4      ,8,13,0,4,0,
-1000.00,2303806,175.040132,175.040068,-0.065,-0.369,C10 H7 O3      ,10,7,0,3,0,
-1000.00,3948543,177.055780,177.055718,-0.062,-0.352,C10 H9 O3      ,10,9,0,3,0,
-1000.00,2741013,177.092201,177.092103,-0.098,-0.552,C11 H13 O2     ,11,13,0,2,0,
-1000.00,4062926,179.035026,179.034982,-0.043,-0.242,C9 H7 O4       ,9,7,0,4,0,
